i,j,head,kper,kstp
7,23,10.873041152954102,1,1
7,24,10.874560356140137,1,1
7,25,10.89986515045166,1,1
7,26,10.850737571716309,1,1
7,27,10.835616111755371,1,1
7,28,10.845414161682129,1,1
7,29,10.99221420288086,1,1
7,30,11.149609565734863,1,1
7,31,11.183425903320312,1,1
7,32,10.861040115356445,1,1
7,33,10.672743797302246,1,1
7,34,10.597902297973633,1,1
7,35,10.609310150146484,1,1
7,36,10.485137939453125,1,1
7,37,10.409228324890137,1,1
7,38,10.294854164123535,1,1
7,39,10.28885555267334,1,1
7,40,10.385640144348145,1,1
7,41,10.059568405151367,1,1
7,42,9.922993659973145,1,1
7,43,10.852765083312988,1,1
7,44,10.53147029876709,1,1
7,45,10.959747314453125,1,1
7,46,9.888379096984863,1,1
7,47,9.837065696716309,1,1
7,48,9.776737213134766,1,1
7,49,9.702995300292969,1,1
7,50,9.662322044372559,1,1
7,51,9.612961769104004,1,1
7,52,9.575505256652832,1,1
7,53,9.661314964294434,1,1
7,54,9.604910850524902,1,1
7,55,9.519707679748535,1,1
7,56,9.590188980102539,1,1
8,0,9.364113807678223,1,1
8,1,9.042198181152344,1,1
8,2,9.230001449584961,1,1
8,3,9.875448226928711,1,1
8,4,10.193988800048828,1,1
8,5,10.30705451965332,1,1
8,6,10.631308555603027,1,1
8,7,9.231412887573242,1,1
8,8,10.04150390625,1,1
8,9,10.37584114074707,1,1
8,10,10.47455883026123,1,1
8,11,10.490880012512207,1,1
8,12,10.55264949798584,1,1
8,13,10.617606163024902,1,1
8,14,10.554204940795898,1,1
8,15,10.562031745910645,1,1
8,16,10.589452743530273,1,1
8,17,10.579646110534668,1,1
8,18,10.582658767700195,1,1
8,19,10.562902450561523,1,1
8,20,10.601318359375,1,1
8,21,10.633662223815918,1,1
8,22,10.71861457824707,1,1
8,23,10.887163162231445,1,1
8,24,10.997982025146484,1,1
8,25,10.842469215393066,1,1
8,26,10.813179016113281,1,1
8,27,10.779444694519043,1,1
8,28,10.747027397155762,1,1
8,29,10.829263687133789,1,1
8,30,10.983844757080078,1,1
8,31,11.011907577514648,1,1
8,32,10.775721549987793,1,1
8,33,10.730775833129883,1,1
8,34,10.80881118774414,1,1
8,35,10.891655921936035,1,1
8,36,10.617176055908203,1,1
8,37,10.369333267211914,1,1
8,38,10.304776191711426,1,1
8,39,10.2448091506958,1,1
8,40,10.278996467590332,1,1
8,41,10.274886131286621,1,1
8,42,10.903244972229004,1,1
8,43,10.603752136230469,1,1
8,44,11.174068450927734,1,1
8,45,10.377240180969238,1,1
8,46,9.851244926452637,1,1
8,47,9.759513854980469,1,1
8,48,9.758737564086914,1,1
8,49,9.714899063110352,1,1
8,50,9.74307632446289,1,1
8,51,9.641514778137207,1,1
8,52,9.555999755859375,1,1
8,53,9.661805152893066,1,1
8,54,9.610614776611328,1,1
8,55,9.547257423400879,1,1
8,56,9.616135597229004,1,1
9,0,9.516936302185059,1,1
