kper,kstp,index,AWq,weight,std
2,2,"(np.int64(0), np.int64(18), np.int64(19))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(18), np.int64(20))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(18), np.int64(40))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(18), np.int64(42))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(19), np.int64(21))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(19), np.int64(40))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(19), np.int64(41))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(20), np.int64(22))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(20), np.int64(39))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(20), np.int64(41))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(21), np.int64(23))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(21), np.int64(36))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(21), np.int64(37))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(21), np.int64(38))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(21), np.int64(39))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(21), np.int64(40))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(21), np.int64(41))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(22), np.int64(24))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(22), np.int64(35))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(23), np.int64(25))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(23), np.int64(26))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(23), np.int64(34))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(24), np.int64(27))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(24), np.int64(28))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(24), np.int64(33))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(25), np.int64(29))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(25), np.int64(33))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(26), np.int64(29))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(26), np.int64(32))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(27), np.int64(30))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(27), np.int64(31))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(27), np.int64(32))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(27), np.int64(33))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(28), np.int64(32))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(28), np.int64(33))",5.76,0.0,3.0
2,2,"(np.int64(0), np.int64(29), np.int64(31))",5.76,0.0,3.0
