Iteration,Group,Pname,Category,Subcategory,Mean,Std,CV,N_Params,Is_Reinflation
8,pg3,stosslayer1-gr,Storage,S-grid,152.54444929180391,2412.4448105843458,1581.4700710410998,191,False
9,pg3,stosslayer1-gr,Storage,S-grid,207.37513848577692,2948.4751412584606,1421.807436893254,191,False
10,pg3,stosslayer1-gr,Storage,S-grid,230.16861508050482,3040.4753400334,1320.977379548445,191,True
11,pg3,stosslayer1-gr,Storage,S-grid,264.476413958761,3675.380055884064,1389.6815980184738,191,False
12,pg3,stosslayer1-gr,Storage,S-grid,384.03917437488195,5127.726376961052,1335.2091971626814,191,False
13,pg3,stosslayer1-gr,Storage,S-grid,322.28386362708665,4287.622839795014,1330.3870667121596,191,False
14,pg3,stosslayer1-gr,Storage,S-grid,326.96062375800506,4285.81835494374,1310.8056577833738,191,False
15,pg3,stosslayer1-gr,Storage,S-grid,345.64930390710845,4423.761970025403,1279.841133779418,191,False
16,pg3,stosslayer1-gr,Storage,S-grid,358.9954502372936,4437.938167887151,1236.210142761894,191,False
0,pg4,stosslayer1-pp,Storage,S-pilot,437.7471660837592,5001.068987964607,1142.4560512192318,74,False
1,pg4,stosslayer1-pp,Storage,S-pilot,338.960183255627,4159.277114754316,1227.06952622149,74,False
2,pg4,stosslayer1-pp,Storage,S-pilot,300.7543503441931,4178.3187617338335,1389.2795754914366,74,False
3,pg4,stosslayer1-pp,Storage,S-pilot,374.2541123026175,4816.684061895753,1287.0089876263107,74,False
4,pg4,stosslayer1-pp,Storage,S-pilot,471.75527732343477,5206.67643841393,1103.6816520537277,74,True
5,pg4,stosslayer1-pp,Storage,S-pilot,417.5004881920352,4887.4451977063445,1170.6441874765653,74,False
6,pg4,stosslayer1-pp,Storage,S-pilot,476.0064682196668,5648.147345322989,1186.5694528160257,74,False
7,pg4,stosslayer1-pp,Storage,S-pilot,481.6759155983275,5457.650553584358,1133.0544826608118,74,False
7,pg4,stosslayer1-pp,Storage,S-pilot,481.6759155983275,5457.650553584358,1133.0544826608118,74,False
8,pg4,stosslayer1-pp,Storage,S-pilot,520.5549682411701,5656.473419076716,1086.6236544026424,74,False
9,pg4,stosslayer1-pp,Storage,S-pilot,565.9413887905384,5866.198690530126,1036.5382010788533,74,False
10,pg4,stosslayer1-pp,Storage,S-pilot,904.0398018071492,7544.570662052587,834.5396571004076,74,True
11,pg4,stosslayer1-pp,Storage,S-pilot,749.4440138095445,6470.324926837579,863.3500044850418,74,False
12,pg4,stosslayer1-pp,Storage,S-pilot,1337.3564004537054,9577.363408263787,716.1414418037417,74,False
13,pg4,stosslayer1-pp,Storage,S-pilot,969.3009718041019,7398.174031702676,763.2483869208238,74,False
14,pg4,stosslayer1-pp,Storage,S-pilot,882.7839590264933,6789.754445406417,769.1297939865091,74,False
15,pg4,stosslayer1-pp,Storage,S-pilot,950.1015088981683,7208.719136465942,758.7314691064838,74,False
16,pg4,stosslayer1-pp,Storage,S-pilot,1099.4304648802727,8511.551959360639,774.1782887822325,74,False
0,pg5,stosslayer1-cn,Storage,S-constant,76.817242248255,436.33973730170123,568.0231736145322,1,False
1,pg5,stosslayer1-cn,Storage,S-constant,31.771096734816272,154.11966280672496,485.0939333102509,1,False
2,pg5,stosslayer1-cn,Storage,S-constant,18.982442065876093,98.8493675075882,520.7410467238323,1,False
3,pg5,stosslayer1-cn,Storage,S-constant,24.751578043498252,142.01036130545066,573.7426561485601,1,False
4,pg5,stosslayer1-cn,Storage,S-constant,27.290980075154287,155.01908358197946,568.0231459445051,1,True
5,pg5,stosslayer1-cn,Storage,S-constant,16.305499372392315,80.49772888624496,493.6845357986387,1,False
6,pg5,stosslayer1-cn,Storage,S-constant,46.58851236273432,539.1289242410643,1157.2142936083703,1,False
7,pg5,stosslayer1-cn,Storage,S-constant,10.384534303871709,64.13978530874488,617.6471994977317,1,False
7,pg5,stosslayer1-cn,Storage,S-constant,10.384534303871709,64.13978530874488,617.6471994977317,1,False
8,pg5,stosslayer1-cn,Storage,S-constant,18.91716663776952,121.34546303796668,641.4568595895937,1,False
9,pg5,stosslayer1-cn,Storage,S-constant,24.18408372460167,213.8398209331159,884.2171709634948,1,False
10,pg5,stosslayer1-cn,Storage,S-constant,26.28367543769768,149.29735965874525,568.0231442997264,1,True
11,pg5,stosslayer1-cn,Storage,S-constant,183.35829951987515,2314.681760073454,1262.3817771731428,1,False
