time,spring,awanui,poukawa,pk4,kper,kstp,pk4-diff,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
93.0,8.54781389661987,8.529872535989115,8.54876881174793,8.54781389661987,4,39,0.0,0.017941360630754133,-0.0009549151280605628,-0.45104333661987006
94.0,8.5303687724167,8.515121846603261,8.53328082007326,8.5303687724167,4,40,0.0,0.01524692581343956,-0.0029120476565598352,-0.43462202241670056
95.0,8.441820026027836,8.42965422624157,8.44500046204346,8.441820026027836,4,41,0.0,0.012165799786265197,-0.003180436015624011,-0.3473827960278353
96.0,8.370335342852435,8.359081802158238,8.374099639295792,8.370335342852435,4,42,0.0,0.011253540694196928,-0.0037642964433572956,-0.2773743028524347
97.0,8.304025099253682,8.294587673673195,8.307755961752493,8.304025099253682,4,43,0.0,0.009437425580486547,-0.0037308624988110495,-0.2124069192536826
98.0,8.243006031964242,8.235942648447024,8.2434945261512,8.243006031964242,4,44,0.0,0.007063383517218469,-0.0004884941869569559,-0.15297732196424185
99.0,8.232942108400591,8.224056775250313,8.23526564285843,8.232942108400591,4,45,0.0,0.008885333150278285,-0.0023235344578385053,-0.1447628184005918
100.0,8.223565367004317,8.215246387170088,8.22213625317202,8.223565367004317,4,46,0.0,0.008318979834228912,0.0014291138322981567,-0.1360707170043174
101.0,8.20673876350075,8.201704629361716,8.209452891773221,8.20673876350075,4,47,0.0,0.0050341341390343075,-0.0027141282724709725,-0.1193580835007495
102.0,8.202516433121327,8.194609232006293,8.200785592871199,8.202516433121327,4,48,0.0,0.007907201115033402,0.0017308402501274855,-0.11553158312132616
103.0,8.194105458793107,8.189295973122974,8.195029784179304,8.194105458793107,4,49,0.0,0.004809485670133284,-0.0009243253861974665,-0.10685870879310677
104.0,8.158328989212876,8.153979160394558,8.157828697694194,8.158328989212876,4,50,0.0,0.0043498288183183575,0.0005002915186818058,-0.07066464921287618
105.0,8.153027893478518,8.149867699879556,8.153307932746301,8.153027893478518,4,51,0.0,0.0031601935989620245,-0.0002800392677837493,-0.06529304347851728
106.0,8.148913753474158,8.144632276169588,8.148519838253394,8.148913753474158,4,52,0.0,0.004281477304569847,0.0003939152207639296,-0.06177739347415745
