#time,h_1_18_44,h_1_19_44,h_1_20_43,h_1_21_43,h_1_22_42,h_1_23_42,h_1_24_42,h_1_25_41,h_1_26_41,h_1_27_41,h_1_28_40,h_1_29_40,h_1_30_41,h_1_31_41,h_1_32_41,h_1_33_41,h_1_34_41,h_1_35_42,h_1_36_42,h_1_37_42,h_1_38_42,h_1_39_42,h_1_40_42,h_1_41_42,h_1_42_42,h_1_43_42,h_1_44_42,h_1_45_42,h_1_46_42,h_1_47_42,h_1_48_42,h_1_49_41,h_1_50_41
22,6.482000198364257,6.592999782562255,6.675999965667724,6.985999908447265,6.664999809265136,6.646000232696532,8.902000274658203,6.904000129699706,7.247999992370604,7.5529998207092275,7.550999965667724,7.642000045776366,7.572999801635741,7.642999973297118,7.563999977111815,7.754999961853026,7.91800006866455,7.92400011062622,8.015999641418457,8.06599983215332,8.048000183105469,8.050000038146973,8.037999954223633,8.077000465393066,8.076000061035156,8.09100040435791,8.06599983215332,8.105000343322754,8.154000129699707,9.199000205993652,10.112000312805176,8.143000450134277,8.126999702453613
23,6.481600198364257,6.592599782562255,6.675599965667724,6.985599908447265,6.664599809265136,6.645600232696532,8.901600274658202,6.903600129699706,7.2475999923706045,7.5525998207092275,7.550599965667724,7.641600045776366,7.572599801635741,7.642599973297118,7.563599977111815,7.754599961853026,7.91760006866455,7.92360011062622,8.015599641418456,8.06559983215332,8.047600183105468,8.049600038146972,8.037599954223632,8.076600465393065,8.075600061035155,8.09060040435791,8.06559983215332,8.104600343322753,8.153600129699706,9.198600205993651,10.111600312805175,8.142600450134276,8.126599702453612
24,6.481400198364257,6.592399782562255,6.675399965667724,6.985399908447265,6.664399809265136,6.645400232696533,8.901400274658203,6.9034001296997065,7.247399992370605,7.552399820709228,7.550399965667724,7.641400045776367,7.572399801635742,7.642399973297119,7.563399977111816,7.754399961853027,7.91740006866455,7.92340011062622,8.015399641418457,8.06539983215332,8.047400183105468,8.049400038146972,8.037399954223632,8.076400465393066,8.075400061035156,8.09040040435791,8.06539983215332,8.104400343322753,8.153400129699707,9.198400205993652,10.111400312805175,8.142400450134277,8.126399702453613
25,6.481200198364257,6.592199782562255,6.675199965667724,6.985199908447265,6.664199809265136,6.645200232696532,8.901200274658201,6.903200129699706,7.2471999923706045,7.552199820709228,7.550199965667724,7.641200045776366,7.572199801635741,7.642199973297118,7.5631999771118155,7.754199961853026,7.91720006866455,7.92320011062622,8.015199641418455,8.065199832153318,8.047200183105467,8.04920003814697,8.037199954223631,8.076200465393065,8.075200061035154,8.090200404357908,8.065199832153318,8.104200343322752,8.153200129699705,9.19820020599365,10.111200312805174,8.142200450134276,8.126199702453611
26,6.4810001983642564,6.5919997825622545,6.674999965667723,6.984999908447264,6.663999809265135,6.645000232696532,8.901000274658202,6.903000129699706,7.246999992370604,7.551999820709227,7.549999965667723,7.641000045776366,7.571999801635741,7.641999973297118,7.562999977111815,7.753999961853026,7.917000068664549,7.923000110626219,8.014999641418456,8.064999832153319,8.047000183105467,8.049000038146971,8.036999954223631,8.076000465393065,8.075000061035155,8.090000404357909,8.064999832153319,8.104000343322753,8.153000129699706,9.198000205993651,10.111000312805174,8.142000450134276,8.125999702453612
27,6.480600198364256,6.591599782562254,6.674599965667722,6.984599908447263,6.6635998092651345,6.644600232696531,8.900600274658201,6.902600129699705,7.246599992370603,7.551599820709226,7.549599965667722,7.640600045776365,7.57159980163574,7.641599973297117,7.562599977111814,7.753599961853025,7.916600068664549,7.9226001106262185,8.014599641418455,8.064599832153318,8.046600183105467,8.04860003814697,8.03659995422363,8.075600465393064,8.074600061035154,8.089600404357908,8.064599832153318,8.103600343322752,8.152600129699705,9.19760020599365,10.110600312805174,8.141600450134275,8.125599702453611
28,6.4802001983642565,6.591199782562255,6.674199965667723,6.984199908447264,6.663199809265135,6.644200232696532,8.900200274658202,6.902200129699706,7.246199992370604,7.551199820709227,7.549199965667723,7.640200045776366,7.571199801635741,7.641199973297118,7.562199977111815,7.753199961853026,7.9162000686645495,7.922200110626219,8.014199641418456,8.064199832153319,8.046200183105467,8.048200038146971,8.036199954223632,8.075200465393065,8.074200061035155,8.089200404357909,8.064199832153319,8.103200343322753,8.152200129699706,9.197200205993651,10.110200312805175,8.141200450134276,8.125199702453612
29,6.479800198364257,6.590799782562255,6.673799965667723,6.983799908447264,6.6627998092651355,6.643800232696532,8.899800274658201,6.901800129699706,7.245799992370604,7.550799820709227,7.548799965667723,7.639800045776366,7.570799801635741,7.640799973297118,7.561799977111815,7.752799961853026,7.9158000686645495,7.9218001106262195,8.013799641418455,8.063799832153318,8.045800183105467,8.04780003814697,8.03579995422363,8.074800465393064,8.073800061035154,8.088800404357908,8.063799832153318,8.102800343322752,8.151800129699705,9.19680020599365,10.109800312805174,8.140800450134275,8.124799702453611
30,6.479400198364257,6.590399782562255,6.673399965667723,6.983399908447264,6.6623998092651355,6.643400232696532,8.899400274658202,6.901400129699706,7.245399992370604,7.550399820709227,7.548399965667723,7.639400045776366,7.570399801635741,7.640399973297118,7.561399977111815,7.752399961853026,7.91540006866455,7.9214001106262195,8.013399641418456,8.06339983215332,8.045400183105468,8.047400038146971,8.035399954223632,8.074400465393065,8.073400061035155,8.088400404357909,8.06339983215332,8.102400343322753,8.151400129699706,9.196400205993651,10.109400312805175,8.140400450134276,8.124399702453612
31,6.479200198364257,6.590199782562255,6.673199965667724,6.983199908447265,6.662199809265136,6.6432002326965325,8.899200274658202,6.901200129699706,7.245199992370605,7.550199820709228,7.548199965667724,7.6392000457763665,7.5701998016357415,7.640199973297118,7.561199977111816,7.752199961853027,7.91520006866455,7.92120011062622,8.013199641418456,8.06319983215332,8.045200183105468,8.047200038146972,8.035199954223632,8.074200465393066,8.073200061035156,8.08820040435791,8.06319983215332,8.102200343322753,8.151200129699706,9.196200205993652,10.109200312805175,8.140200450134277,8.124199702453613
32,6.479000198364258,6.589999782562256,6.672999965667724,6.982999908447265,6.6619998092651365,6.643000232696533,8.899000274658203,6.901000129699707,7.244999992370605,7.549999820709228,7.547999965667724,7.639000045776367,7.569999801635742,7.639999973297119,7.560999977111816,7.751999961853027,7.9150000686645505,7.9210001106262204,8.012999641418457,8.06299983215332,8.045000183105468,8.047000038146972,8.034999954223633,8.074000465393066,8.073000061035156,8.08800040435791,8.06299983215332,8.102000343322754,8.151000129699707,9.196000205993652,10.109000312805176,8.140000450134277,8.123999702453613
33,6.478800198364257,6.589799782562255,6.672799965667724,6.982799908447265,6.661799809265136,6.6428002326965325,8.898800274658203,6.900800129699706,7.244799992370605,7.549799820709228,7.547799965667724,7.6388000457763665,7.5697998016357415,7.6397999732971185,7.560799977111816,7.751799961853027,7.91480006866455,7.92080011062622,8.012799641418457,8.06279983215332,8.044800183105469,8.046800038146973,8.034799954223633,8.073800465393067,8.072800061035156,8.08780040435791,8.06279983215332,8.101800343322754,8.150800129699707,9.195800205993653,10.108800312805176,8.139800450134278,8.123799702453613
34,6.478800198364257,6.589799782562255,6.672799965667724,6.982799908447265,6.661799809265136,6.6428002326965325,8.898800274658203,6.900800129699706,7.244799992370605,7.549799820709228,7.547799965667724,7.6388000457763665,7.5697998016357415,7.6397999732971185,7.560799977111816,7.751799961853027,7.91480006866455,7.92080011062622,8.012799641418457,8.06279983215332,8.044800183105469,8.046800038146973,8.034799954223633,8.073800465393067,8.072800061035156,8.08780040435791,8.06279983215332,8.101800343322754,8.150800129699707,9.195800205993653,10.108800312805176,8.139800450134278,8.123799702453613
