,time,kper,kstp,time,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
36,37.0,2,36,37.0,5.246795240383221,12.238,7.606571394239153,8.122999702453612,7.43517096,4.491374495587937,5.229911812714224,-6.991204759616778,-2.1883757196167783,-2.3597761538559316,-2.8762044620703904,0.7554207447952841,0.016883427668997086,3.1151968986512157,2.8930878897393875,3,-56.13565264490825,-5.246795240383221,-2320.755684584119,-184.6056845841189,-5.229911812714224,-555.5736449710043,-4.491374495587937,-2932.4649822000315
37,38.0,2,37,38.0,5.189651509325136,12.193333333333335,7.602285679953439,8.122599702453613,7.427887879999999,4.388357487248684,5.173614878091216,-7.003681824008199,-2.238236370674863,-2.4126341706283023,-2.9329481931284764,0.8012940220764522,0.016036631233919962,3.2139281927047545,2.9489848243623964,3,-55.04414737737398,-5.189651509325136,-2289.961619736598,-182.33701389659805,-5.173614878091216,-542.8469398001267,-4.388357487248684,-2887.8527069140987
38,39.0,2,38,39.0,5.133135401169083,12.148666666666667,7.598380918048677,8.122199702453614,7.418305943999999,4.287737730594497,5.117955579772337,-7.015531265497584,-2.285170542830916,-2.4652455168795937,-2.9890643012845306,0.8453976705745863,0.015179821396746007,3.31064318745418,3.0042441226812766,3,-53.97750099516576,-5.133135401169083,-2258.124037639893,-180.10943179989258,-5.117955579772337,-530.4312217493699,-4.287737730594497,-2842.5327603844285
39,40.0,2,39,40.0,5.07724002447866,12.104,7.595904727572487,8.121799702453613,7.412440903999999,4.189459029493737,5.062926689890132,-7.0267599755213395,-2.3352008795213397,-2.518664703093827,-3.044559677974953,0.8877809949849231,0.014313334588528015,3.40644569807875,3.058873012563481,3,-52.935107949454164,-5.07724002447866,-2227.410981659267,-177.92176997926668,-5.062926689890132,-518.3180557362748,-4.189459029493737,-2798.6641453449956
40,41.0,2,40,41.0,5.021958563512232,12.059333333333337,7.593857108524867,8.121599702453613,7.406643423999999,4.093466510131413,5.008521062549332,-7.037374769821104,-2.3846848604877673,-2.571898545012635,-3.099641138941381,0.9284920533808192,0.013437500962900195,3.5003905983934542,3.1130786399042814,3,-51.91637815151329,-5.021958563512232,-2210.7282735122294,-175.7729188322292,-5.008521062549332,-506.4992844423271,-4.093466510131413,-2769.1439361060698
41,42.0,2,41,42.0,4.9672842773899655,12.014666666666669,7.59123806090582,8.121399702453614,7.401816679999999,3.9997065898319453,4.954731632896738,-7.047382389276703,-2.4345324026100332,-2.623953783515854,-3.1541154250636483,0.9675776875580202,0.012552644493227127,3.5915314710738744,3.1666680695568754,3,-50.920736562895385,-4.9672842773899655,-2194.625640676871,-173.66182315687112,-4.954731632896738,-494.96701576168374,-3.9997065898319453,-2740.5133930014504
42,43.0,2,42,43.0,4.9132104992700585,11.97,7.588285679953438,8.121199702453612,7.396749071999999,3.9081269466178576,4.901551416201678,-7.056789500729942,-2.48353857272994,-2.67507518068338,-3.207989203183554,1.0050835526522008,0.011659083068380482,3.6801587333355807,3.2196482862519344,3,-49.94762279684953,-4.9132104992700585,-2179.1020784096913,-171.58747820969162,-4.901551416201678,-483.7136110668223,-3.9081269466178576,-2712.7633122733628
43,44.0,2,43,44.0,4.859730635534095,11.925333333333334,7.585599965667725,8.120799702453613,7.393881183999999,3.8186764894870326,4.848973506946887,-7.06560269779924,-2.534150548465904,-2.72586933013363,-3.261069066919519,1.041054146047062,0.010757128587207454,3.766923476180692,3.2718261955067263,3,-48.99649073066567,-4.859730635534095,-2149.6227718194127,-169.54892609941274,-4.848973506946887,-472.73167422046635,-3.8186764894870326,-2671.3509367705446
44,45.0,2,44,45.0,4.806838164981404,11.880666666666668,7.582421018299303,8.120599702453612,7.388307671999999,3.7313053293915415,4.7969910779297305,-7.073828501685265,-2.5814695070185953,-2.775582853317899,-3.3137615374722085,1.0755328355898621,0.009847087051673142,3.851115688907761,3.3236086245238816,3,-48.06680812863404,-4.806838164981404,-2134.169880886396,-167.54525248639644,-4.7969910779297305,-462.0140412703946,-3.7313053293915415,-2644.2507302854247
45,46.0,2,45,46.0,4.754526638032331,11.836,7.578722187889946,8.120199702453611,7.384459551999999,3.6459647509014808,4.745597379373605,-7.081473361967669,-2.629932913967668,-2.824195549857615,-3.36567306442128,1.1085618871308505,0.008929258658726624,3.9327574369884655,3.3746023230800066,3,-47.15805627531939,-4.754526638032331,-2104.7594574801005,-165.57558356010065,-4.745597379373605,-451.55377077017897,-3.6459647509014808,-2603.4712845255985
