i,j,head,kper,kstp
9,17,13.882418022202563,1,1
9,18,13.882358994109886,1,1
9,19,13.882284030997521,1,1
9,20,13.882193477623794,1,1
9,21,13.882087796477958,1,1
9,22,13.881967402704829,1,1
9,23,13.881833270167148,1,1
9,24,13.881685153246606,1,1
9,25,13.881521941758875,1,1
9,26,13.8813436342225,1,1
9,27,13.881149981144743,1,1
9,28,13.880941754211639,1,1
9,29,13.880719633988095,1,1
9,30,13.880483465991471,1,1
9,31,13.880233365494222,1,1
9,32,13.879969177432857,1,1
9,33,13.87969024402067,1,1
9,34,13.879396244747587,1,1
9,35,13.879088250902477,1,1
9,36,13.878767654481312,1,1
9,37,13.878433300869531,1,1
9,38,13.878083075507222,1,1
9,39,13.877717048022198,1,1
9,40,13.877335856236922,1,1
9,41,13.876946925511852,1,1
9,42,13.876557022441986,1,1
9,43,13.87619487096276,1,1
9,44,13.876065705791294,1,1
9,45,13.875913135700843,1,1
9,46,13.875746196144087,1,1
9,47,13.875575466486625,1,1
9,48,13.87539844152202,1,1
9,49,13.875216730181581,1,1
9,50,13.87502470810663,1,1
9,51,13.874842385454718,1,1
9,52,13.874623283107594,1,1
9,53,13.874496351212143,1,1
9,54,13.87447178308866,1,1
9,55,1e+30,1,1
9,56,1e+30,1,1
10,0,1e+30,1,1
10,1,1e+30,1,1
10,2,1e+30,1,1
10,3,1e+30,1,1
10,4,1e+30,1,1
10,5,1e+30,1,1
10,6,1e+30,1,1
10,7,1e+30,1,1
10,8,1e+30,1,1
10,9,1e+30,1,1
10,10,1e+30,1,1
10,11,13.882347157351763,1,1
10,12,13.882391691428555,1,1
10,13,13.882416033443894,1,1
10,14,13.88242029898835,1,1
10,15,13.882405445409157,1,1
10,16,13.882372688371545,1,1
10,17,13.882323289632701,1,1
10,18,13.882257917307733,1,1
10,19,13.882176936686822,1,1
10,20,13.882080852862055,1,1
10,21,13.881970036753032,1,1
10,22,13.881844536516999,1,1
10,23,13.881704673295316,1,1
10,24,13.88155015752384,1,1
10,25,13.881380489394461,1,1
10,26,13.881194809369488,1,1
10,27,13.880993717232798,1,1
10,28,13.880778064265725,1,1
10,29,13.880547968966644,1,1
10,30,13.88030264860265,1,1
10,31,13.880043395452336,1,1
10,32,13.87977062897212,1,1
10,33,13.879482486048182,1,1
10,34,13.87917859234298,1,1
10,35,13.878860329522618,1,1
10,36,13.87852916816794,1,1
10,37,13.878184046362746,1,1
10,38,13.87782276558393,1,1
10,39,13.877444329637454,1,1
10,40,13.877052401579741,1,1
