obs_realization,phi_iter0,phi_final,reduction_%
102,590361906337933.0,181746715128170.0,69.21435594387162
103,2983185836155090.0,17088376521500.0,99.42717693566404
104,2382642305153644.0,5984752500035.6,99.74881867550616
105,2876957107669507.0,334090111498044.3,88.38737947787216
106,706178132916721.9,511721940105130.2,27.53642229170009
107,463514054564520.0,605578068547300.0,-30.64934333355906
108,494223696120000.0,470954548170000.0,4.7082218300496335
109,725465483873916.5,464841612197219.3,35.925054667658415
110,579858655856667.8,471691246711538.0,18.65409924515589
113,565498285488606.9,288416296280002.7,48.99784779527622
114,579353731031000.0,468229027750000.0,19.18080394222126
115,1222315663354301.5,478088778340442.0,60.886635696996485
116,991908920516861.1,455114423107515.9,54.11731725626924
117,2331088384114745.5,932139598065218.6,60.01268744603144
118,5920492619609260.0,338197316790367.6,94.28768282439496
119,1752998310112710.5,5303514727892.7,99.69746036277971
120,664862131674820.0,519297229562703.56,21.893998045193428
121,3592882541256994.0,262822504758094.9,92.6849124139153
122,538762731427354.0,470414748308623.0,12.68610078831092
123,3.0963793718577148e+16,444971765575804.6,98.56292878831306
126,5990209023141288.0,8955212433403.0,99.85050250502432
127,1387565528198110.0,153026899778600.0,88.9715550964054
128,3.4613249233245504e+16,514312352318752.6,98.51411709760907
129,1283810972871843.5,229937617772739.8,82.08944909869584
130,534227529043780.0,543000534547600.0,-1.6421852163857793
131,458530342908011.5,458043476833619.2,0.10617968514462861
132,2247938391821806.2,17059687806808.236,99.24109629210156
134,3619649051382953.0,46427294155568.2,98.71735371312228
135,3051464977181599.0,24991208476878.0,99.18100949334963
137,2557317522796932.5,395469791858299.0,84.53575716222463
138,2190686823413247.5,9950611535908.0,99.54577662906631
139,529416209547906.0,464818166145535.0,12.201750199060655
140,627541661968028.5,471363437467090.0,24.887307722510275
142,566819249088069.2,468672167020451.5,17.315410904891163
143,805576872828250.0,304004578691600.0,62.26249921695379
145,493470208780435.9,241617250685929.8,51.037115030091975
146,492863126313825.3,693532309273148.1,-40.71499210341592
147,474425974152534.0,458026803871600.0,3.4566341588332725
148,1179351792003451.5,14059073204332.15,98.80789826244728
149,576534976239900.0,14270901702600.0,97.52471189247296
150,2324276651708000.0,129604960024500.0,94.42385828170414
151,920120969877462.0,553100443864440.0,39.88829056487
152,1360392774409476.0,70458754547870.0,94.82070502921812
153,5753777188052426.0,11255559819580.0,99.80437963703301
154,3706294730480020.0,38362306398411.0,98.9649418303697
155,489440704488817.3,470409821936817.7,3.8882917537224246
157,7409635600296952.0,471051494855899.0,93.64271712853164
158,1046672534889681.2,190101143053894.06,81.83757223801325
159,3417452294867140.0,487382775483210.0,85.73841758624584
160,1802805613582870.2,502911234016795.4,72.10396782505482
161,621448439779326.0,471309104669622.0,24.159580344753607
162,69601820533680.0,6200134321300.0,91.0919940401562
163,484732816762300.0,469726916914400.0,3.095705371905631
165,2826322016812509.0,537763079778537.1,80.97304282457455
166,808759226457211.6,469923198602430.1,41.895785144740856
167,1.456079547116804e+17,516483771617173.8,99.64529151402485
170,84448381854113.9,127852698301161.23,-51.39745190384946
171,476669752905170.0,457266237723820.0,4.070641164682876
172,1690576336222146.0,470801416868685.44,72.15142512163845
173,5703924531382261.0,21626613037818.7,99.62084678857808
