kper,kstp,time,k,i,j,AWq
4,46,100.0,0,27,32,-115.65795834996766
4,46,100.0,0,28,0,-10.94471392625087
4,46,100.0,0,28,1,-11.218780397546652
4,46,100.0,0,28,2,-11.596675446444692
4,46,100.0,0,28,3,-12.064503994537517
4,46,100.0,0,28,4,-12.627915583748745
4,46,100.0,0,28,5,-13.296159195950054
4,46,100.0,0,28,6,-14.081561206274728
4,46,100.0,0,28,7,-15.001059271143959
4,46,100.0,0,28,8,-16.079794056752917
4,46,100.0,0,28,9,-17.355562706714863
4,46,100.0,0,28,10,-18.88798537579271
4,46,100.0,0,28,11,-20.759703036501605
4,46,100.0,0,28,12,-23.075718840365653
4,46,100.0,0,28,13,-25.964410010273696
4,46,100.0,0,28,32,-131.25451444011196
4,46,100.0,0,28,33,-23.538020299953814
4,46,100.0,0,29,0,-10.521457376056901
4,46,100.0,0,29,1,-10.68086601739651
4,46,100.0,0,29,2,-10.94932273518657
4,46,100.0,0,29,3,-11.308150108614996
4,46,100.0,0,29,4,-11.75571002307288
4,46,100.0,0,29,5,-12.297784093421797
4,46,100.0,0,29,6,-12.945944855294897
4,46,100.0,0,29,7,-13.718013317364921
4,46,100.0,0,29,8,-14.640466231427581
4,46,100.0,0,29,9,-15.752007750439248
4,46,100.0,0,29,10,-17.108648869974672
4,46,100.0,0,29,11,-18.787582991141335
4,46,100.0,0,29,12,-20.89156861087622
4,46,100.0,0,29,13,-23.555298170187825
4,46,100.0,0,29,31,-128.88374605780587
4,46,100.0,0,30,0,-10.111815275334266
4,46,100.0,0,30,1,-10.217924588024744
4,46,100.0,0,30,2,-10.41417743403133
4,46,100.0,0,30,3,-10.690951590341228
4,46,100.0,0,30,4,-11.047463393867929
4,46,100.0,0,30,5,-11.488857557335336
4,46,100.0,0,30,6,-12.026223656961633
4,46,100.0,0,30,7,-12.677118911050002
4,46,100.0,0,30,8,-13.467433304855149
4,46,100.0,0,30,9,-14.4341873534147
4,46,100.0,0,30,10,-15.629516727410305
4,46,100.0,0,30,11,-17.125759319238
4,46,100.0,0,30,12,-19.023566471174036
4,46,100.0,0,30,13,-21.467118877857843
4,46,100.0,0,30,31,-63.87556392760325
4,46,100.0,0,31,0,-9.740769889422495
4,46,100.0,0,31,1,-9.816916302466666
4,46,100.0,0,31,2,-9.964251547641538
4,46,100.0,0,31,3,-10.179526321710455
4,46,100.0,0,31,4,-10.46431711009302
4,46,100.0,0,31,5,-10.824256533584276
4,46,100.0,0,31,6,-11.270123412558632
4,46,100.0,0,31,7,-11.81858342025248
4,46,100.0,0,31,8,-12.493746164343293
4,46,100.0,0,31,9,-13.329336264252106
4,46,100.0,0,31,10,-14.371879003726917
4,46,100.0,0,31,11,-15.685395606967404
4,46,100.0,0,31,12,-17.3595783482549
4,46,100.0,0,31,13,-19.527219745165667
4,46,100.0,0,31,30,-38.08759638236745
4,46,100.0,0,32,0,-9.412597160043447
4,46,100.0,0,32,1,-9.469074098507122
4,46,100.0,0,32,2,-9.581092581036046
4,46,100.0,0,32,3,-9.748910601821308
4,46,100.0,0,32,4,-9.975992483536515
4,46,100.0,0,32,5,-10.268542633483321
4,46,100.0,0,32,6,-10.63696218471614
4,46,100.0,0,32,7,-11.096644526033742
4,46,100.0,0,32,8,-11.669231737934865
4,46,100.0,0,32,9,-12.384120002089503
4,46,100.0,0,32,10,-13.280511561163394
4,46,100.0,0,32,11,-14.410041830053274
4,46,100.0,0,32,12,-15.839671758089139
4,46,100.0,0,32,13,-17.65167785428389
4,46,100.0,0,32,14,-19.92254424132625
4,46,100.0,0,33,0,-9.124244770821747
4,46,100.0,0,33,1,-9.16599162782893
4,46,100.0,0,33,2,-9.250400220105348
4,46,100.0,0,33,3,-9.379717510371734
4,46,100.0,0,33,4,-9.558647237210721
4,46,100.0,0,33,5,-9.79372557282818
4,46,100.0,0,33,6,-10.094829955882005
4,46,100.0,0,33,7,-10.47591739801942
4,46,100.0,0,33,8,-10.955977862086343
4,46,100.0,0,33,9,-11.559895731406186
4,46,100.0,0,33,10,-12.3194278192733
4,46,100.0,0,33,11,-13.27423820824265
4,46,100.0,0,33,12,-14.47278412509695
4,46,100.0,0,33,13,-15.973058015777951
4,46,100.0,0,33,14,-17.845855255712877
4,46,100.0,0,34,0,-8.87051440279447
4,46,100.0,0,34,1,-8.899628312346294
4,46,100.0,0,34,2,-8.960287678398345
4,46,100.0,0,34,3,-9.056236068502585
4,46,100.0,0,34,4,-9.193007451649805
4,46,100.0,0,34,5,-9.37720563301491
4,46,100.0,0,34,6,-9.618062190832461
4,46,100.0,0,34,7,-9.928142961928756
4,46,100.0,0,34,8,-10.324071258900062
4,46,100.0,0,34,9,-10.826814781490839
4,46,100.0,0,34,10,-11.461669221390821
4,46,100.0,0,34,11,-12.257961118929188
4,46,100.0,0,34,12,-13.24797588322383
4,46,100.0,0,34,13,-14.465722563863551
4,46,100.0,0,34,14,-15.94291519628348
4,46,100.0,0,34,15,-17.691747904832596
4,46,100.0,0,35,0,-8.646579334201647
4,46,100.0,0,35,1,-8.662798297237373
4,46,100.0,0,35,2,-8.700488587488053
4,46,100.0,0,35,3,-8.765146619041616
4,46,100.0,0,35,4,-8.862873890846913
4,46,100.0,0,35,5,-9.000040696519022
4,46,100.0,0,35,6,-9.185100280745132
4,46,100.0,0,35,7,-9.429412051827285
