kper,kstp,k,i,j,SPq
2,26,0,35,33,-11.512947710162052
2,26,0,36,32,-14.867376157409126
2,26,0,36,33,-16.99820422861376
2,26,0,37,32,-22.562847323874735
2,27,0,32,30,-53.492645254600916
2,27,0,33,30,-49.06201918600243
2,27,0,33,31,-3.082861293711062
2,27,0,33,32,-12.504025563121445
2,27,0,33,33,-4.5594045240097785
2,27,0,34,30,-10.859673592582908
2,27,0,34,31,-15.545512988511064
2,27,0,34,33,-7.994223910870801
2,27,0,35,33,-12.202709930940955
2,27,0,36,32,-15.544421337317317
2,27,0,36,33,-17.690142260855623
2,27,0,37,32,-23.249447743016844
2,28,0,32,30,-54.058977992395626
2,28,0,33,30,-49.61770026723741
2,28,0,33,31,-3.661666431786898
2,28,0,33,32,-13.124895446088658
2,28,0,33,33,-5.215570868921077
2,28,0,34,30,-11.4608783961761
2,28,0,34,31,-16.1713042094475
2,28,0,34,33,-8.66808079874329
2,28,0,35,33,-12.887868486139155
2,28,0,36,32,-16.218274276756347
2,28,0,36,33,-18.37980330341736
2,28,0,37,32,-23.94003344076782
2,29,0,32,30,-54.39942225338564
2,29,0,33,30,-49.9406388939783
2,29,0,33,31,-4.0020593027301175
2,29,0,33,32,-13.507293635201677
2,29,0,33,33,-5.637382427116108
2,29,0,34,30,-11.827893372470385
2,29,0,34,31,-16.557343776807784
2,29,0,34,33,-9.104014759067354
2,29,0,35,33,-13.336069651538764
2,29,0,36,32,-16.656443528273826
2,29,0,36,33,-18.83499541737308
2,29,0,37,32,-24.400422504171274
2,30,0,32,30,-54.711360919296226
2,30,0,33,30,-50.236393044996476
2,30,0,33,31,-4.311717044332795
2,30,0,33,32,-13.85809593491308
2,30,0,33,33,-6.031047842143607
2,30,0,34,30,-12.1669247445044
2,30,0,34,31,-16.910491473838647
2,30,0,34,33,-9.508683727922971
2,30,0,35,33,-13.753664862466621
2,30,0,36,32,-17.065046098419657
2,30,0,36,33,-19.262043959825178
2,30,0,37,32,-24.83567467131627
2,31,0,32,30,-55.174690179910726
2,31,0,33,30,-50.684606309854644
2,31,0,33,31,-4.771644527653734
2,31,0,33,32,-14.359119688009287
2,31,0,33,33,-6.57800617318901
2,31,0,34,30,-12.659736750742127
