oname,usecol,obs_name,truth,simulated,residual,nrmse_pct
arr-spq,spq,ob4394,-1.8961006635926387,-0.1798117092769686,1.71628895431567,54.98028198628001
arr-spq,spq,ob4395,-1.8961006635926387,-0.1881654988452794,1.7079351647473593,54.71267337354328
arr-spq,spq,ob4396,-1.8961006635926387,-0.2119773564463827,1.684123307146256,53.94987487027622
arr-spq,spq,ob4397,-1.8961006635926387,-0.2339515537386199,1.6621491098540189,53.24594470716969
arr-spq,spq,ob4398,-1.7883589335642296,-2.6929534455434877e-07,1.7883586642688851,57.2889916973887
arr-spq,spq,ob4399,-1.7883589335642296,-0.0249925519194089,1.7633663816448206,56.488378990130585
arr-spq,spq,ob4400,-1.7883589335642296,-0.0420682473048197,1.7462906862594099,55.941369382546156
arr-spq,spq,ob4401,-1.7883589335642296,-0.0028385913435538,1.7855203422206758,57.19806776165747
arr-spq,spq,ob4402,-1.7883589335642296,-0.0387589051773664,1.7496000283868631,56.0473821625614
arr-spq,spq,ob4403,-1.7883589335642296,-0.0643864601895671,1.7239724733746624,55.22641888732345
arr-spq,spq,ob4404,-1.7883589335642296,-0.0125544555145419,1.7758044780496878,56.886825910150996
arr-spq,spq,ob4405,-1.7883589335642296,-0.0286179685830509,1.7597409649811786,56.372240952894145
arr-spq,spq,ob4406,-1.7883589335642296,-0.0379223507561402,1.7504365828080894,56.07418067912834
arr-spq,spq,ob4407,-1.7883589335642296,-0.052461874754938,1.7358970588092917,55.60841579298251
arr-spq,spq,ob4408,-1.7883589335642296,-0.0853435005890332,1.7030154329751963,54.555072732083566
arr-spq,spq,ob4409,-1.7883589335642296,-0.0706917647033075,1.7176671688609222,55.02443225838017
arr-spq,spq,ob4410,-1.7883589335642296,-0.0626479252126971,1.7257110083515326,55.282111807231246
arr-spq,spq,ob4411,-1.7883589335642296,-0.1010490896634337,1.6873098439007959,54.05195365420342
arr-spq,spq,ob4412,-1.7883589335642296,-0.1015843373152165,1.686774596249013,54.03480731835274
arr-spq,spq,ob4413,-1.7883589335642296,-0.1659410107476666,1.622417922816563,51.973180082380765
arr-spq,spq,ob4414,-1.7883589335642296,-0.1465818794029734,1.6417770541612562,52.59333818435088
arr-spq,spq,ob4415,-1.7883589335642296,-0.1811481857431047,1.6072107478211248,51.48602739905114
arr-spq,spq,ob4416,-1.7883589335642296,-0.1887800912378674,1.5995788423263622,51.24154390742254
arr-spq,spq,ob4417,-1.7883589335642296,-0.2120942830545419,1.5762646505096878,50.494687827541696
arr-spq,spq,ob4418,-1.7883589335642296,-0.2335110886203475,1.554847844943882,49.80861337236767
arr-spq,spq,ob4419,-1.6592472985174458,-8.550908587965618e-07,1.659246443426587,53.15295953804009
arr-spq,spq,ob4420,-1.6592472985174458,-0.0326948412530829,1.6265524572643628,52.10562740091091
arr-spq,spq,ob4421,-1.6592472985174458,-0.0456607632742098,1.613586535243236,51.69027190547343
arr-spq,spq,ob4422,-1.6592472985174458,-0.0032382539797861,1.6560090445376596,53.049251416300024
arr-spq,spq,ob4423,-1.6592472985174458,-0.0409572515631813,1.6182900469542645,51.84094606762303
arr-spq,spq,ob4424,-1.6592472985174458,-0.0707312701369465,1.5885160283804993,50.88715333188696
arr-spq,spq,ob4425,-1.6592472985174458,-0.0132042894921852,1.6460430090252607,52.72999547668731
arr-spq,spq,ob4426,-1.6592472985174458,-0.0331102268319543,1.6261370716854915,52.092320774307076
arr-spq,spq,ob4427,-1.6592472985174458,-0.0416753525124886,1.6175719460049571,51.8179421366193
arr-spq,spq,ob4428,-1.6592472985174458,-0.0562551739376395,1.6029921245798062,51.350886346713565
arr-spq,spq,ob4429,-1.6592472985174458,-0.090579375938887,1.5686679225785587,50.251331227957294
arr-spq,spq,ob4430,-1.6592472985174458,-0.0718491835228789,1.5873981149945668,50.85134165050297
arr-spq,spq,ob4431,-1.6592472985174458,-0.0639110393625599,1.5953362591548859,51.10563531316661
arr-spq,spq,ob4432,-1.6592472985174458,-0.1036433610239878,1.555603937493458,49.83283434138276
