time,spring,awanui,poukawa,pk4,kper,kstp,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
32.0,7.987173298840448,7.433869866132133,7.836671072990738,7.987173298840448,2,31,-0.9753940788404476,-0.3658399688404481,-0.5079189988404478
33.0,7.9842208950037525,7.430402373227866,7.836140904912701,7.9842208950037525,2,32,-0.9767750050037529,-0.3630875650037524,-0.5143874550037522
34.0,7.981226207340491,7.4268970085248736,7.835640256099455,7.981226207340491,2,33,-0.9797803173404906,-0.3600928773404908,-0.5186018273404907
35.0,7.978059350872833,7.4233516479296675,7.835157108254605,7.978059350872833,2,34,-0.9827087008728332,-0.3571260208728333,-0.5254978408728332
36.0,7.974701209578219,7.419779638831096,7.83469011220891,7.974701209578219,2,35,-0.9851600795782192,-0.35396787957821907,-0.5329571795782195
37.0,7.971290124690625,7.416200947502107,7.834228265539251,7.971290124690625,2,36,-0.9870823346906246,-0.35095679469062446,-0.537678204690625
38.0,7.96786469840618,7.412656980248505,7.833771159858459,7.96786469840618,2,37,-0.9879426184061799,-0.34793136840617933,-0.5415358584061796
39.0,7.964317102135245,7.409159196092231,7.833318430851598,7.964317102135245,2,38,-0.9882997821352442,-0.34478377213524425,-0.5475702021352449
40.0,7.960824571661714,7.405760371753789,7.832869752536191,7.960824571661714,2,39,-0.987283441661714,-0.3416912416617137,-0.5499427116617142
41.0,7.957378273205378,7.402469129548019,7.832434600675881,7.957378273205378,2,40,-0.9858847632053775,-0.33844494320537777,-0.5522938932053778
42.0,7.954011930284996,7.399253411324813,7.832011991343738,7.954011930284996,2,41,-0.9851374702849958,-0.3352786002849957,-0.5537542902849957
43.0,7.9507010915427525,7.39609337670697,7.831601018092108,7.9507010915427525,2,42,-0.9847790115427522,-0.3321677615427525,-0.5555110615427523
44.0,7.94753510970064,7.392994947988062,7.831191077760434,7.94753510970064,2,43,-0.9842987497006401,-0.3294017797006399,-0.5552129697006398
45.0,7.944371572079132,7.38993313330728,7.830791890548751,7.944371572079132,2,44,-0.9843141520791319,-0.3264382420791323,-0.5576229420791323
46.0,7.941286014877719,7.386883882859756,7.830392928508555,7.941286014877719,2,45,-0.9849274248777196,-0.3237526848777197,-0.5583855048777195
47.0,7.93840331340373,7.3839395678479915,7.830003979788281,7.93840331340373,2,46,-0.9834140134037295,-0.3210699834037296,-0.5563351234037297
48.0,7.935717971229361,7.381137690353606,7.829634114622953,7.935717971229361,2,47,-0.9809566112293613,-0.31838464122936116,-0.554031411229361
49.0,7.9331070841537885,7.3784444742678,7.829281967556356,7.9331070841537885,2,48,-0.9791373841537885,-0.3157737541537884,-0.5539855841537884
50.0,7.930584618138767,7.37590446141763,7.828936506138532,7.930584618138767,2,49,-0.9760911081387675,-0.31345128813876766,-0.5535236781387676
51.0,7.928119569665224,7.373518528920421,7.828597281850503,7.928119569665224,2,50,-0.9727908996652239,-0.31118623966522385,-0.5535769296652244
52.0,7.925680210153127,7.3712472584688085,7.828268767308957,7.925680210153127,2,51,-0.9702105101531266,-0.30884688015312634,-0.5542164101531268
53.0,7.9232247147918935,7.369028567360293,7.827946968554805,7.9232247147918935,2,52,-0.9689519847918939,-0.30655804479189364,-0.5557091947918931
54.0,8.582836899746223,9.792233950081707,8.516344416853688,8.582836899746223,3,1,-0.36283689974622213,-0.36283689974622213,-0.36283689974622213
55.0,8.582540110595513,9.792046066770341,8.516042898475376,8.582540110595513,4,1,-0.36522193059551356,-0.36522193059551356,-0.36522193059551356
56.0,8.582149390559778,9.791858268201793,8.515634429956245,8.582149390559778,4,2,-0.3674081305597774,-0.3674081305597774,-0.3674081305597774
57.0,8.581675959963814,9.791670542954556,8.515127800442793,8.581675959963814,4,3,-0.3695006399638139,-0.3695006399638139,-0.3695006399638139
58.0,8.58105397977495,9.791482879907878,8.514449803014967,8.58105397977495,4,4,-0.37310245977494993,-0.37310245977494993,-0.37310245977494993
59.0,8.580294308751574,9.791295267879523,8.513607433222795,8.580294308751574,4,5,-0.37669487875157337,-0.37669487875157337,-0.37669487875157337
60.0,8.579429601210572,9.79110769526935,8.512632717727007,8.579429601210572,4,6,-0.3797878912105723,-0.3797878912105723,-0.3797878912105723
61.0,8.578477705302875,9.790920149732912,8.511543938762122,8.578477705302875,4,7,-0.38263174530287536,-0.38263174530287536,-0.38263174530287536
62.0,8.577488616812996,9.790732617927855,8.51039521383932,8.577488616812996,4,8,-0.3845125368129967,-0.3845125368129967,-0.3845125368129967
63.0,8.576511250889489,9.79054508536268,8.50924190158556,8.576511250889489,4,9,-0.38536807088948954,-0.38536807088948954,-0.38536807088948954
64.0,8.575502511137287,9.790357536288194,8.508041891052262,8.575502511137287,4,10,-0.38706528113728744,-0.38706528113728744,-0.38706528113728744
65.0,8.574381000454412,9.790169953553612,8.506708914207941,8.574381000454412,4,11,-0.3904913904544127,-0.3904913904544127,-0.3904913904544127
66.0,8.573204538885577,9.789982318490244,8.505302965674623,8.573204538885577,4,12,-0.3928387388855761,-0.3928387388855761,-0.3928387388855761
