kper,kstp,k,i,j,AWq
2,1,0,16,16,-15.11180416978611
2,1,0,16,17,-15.111986690854122
2,1,0,16,41,-15.101736431747922
2,1,0,16,46,-15.099501172757126
2,1,0,16,47,-15.099383012582537
2,1,0,17,18,-15.11207516154055
2,1,0,17,41,-15.1016986379755
2,1,0,17,42,-15.100829563175742
2,1,0,17,43,-15.100359429279269
2,1,0,17,44,-15.100057671103052
2,1,0,17,45,-15.099899678005242
2,1,0,18,19,-15.11211708013302
2,1,0,18,20,-15.112235674253462
2,1,0,18,40,-15.103010144651376
2,1,0,18,42,-15.101099404446053
2,1,0,19,21,-15.112427064165978
2,1,0,19,40,-15.103142741678704
2,1,0,19,41,-15.102035250796904
2,1,0,20,22,-15.112642143274932
2,1,0,20,39,-15.104955836620391
2,1,0,20,41,-15.102325977053841
2,1,0,21,23,-15.112925117067826
2,1,0,21,36,-15.109734933414641
2,1,0,21,37,-15.108502636717622
2,1,0,21,38,-15.107153480014615
2,1,0,21,39,-15.105669020431574
2,1,0,21,40,-15.104199476791196
2,1,0,21,41,-15.102576500011615
2,1,0,22,24,-15.113309471696786
2,1,0,22,35,-15.111831186725103
2,1,0,23,25,-15.113818852122826
2,1,0,23,26,-15.114035494705853
2,1,0,23,34,-15.11379811443211
2,1,0,24,27,-15.11490272206552
2,1,0,24,28,-15.115175991661685
2,1,0,24,33,-15.11554564599713
2,1,0,25,29,-15.116441281425109
2,1,0,25,33,-15.11721796310924
2,1,0,26,29,-15.117735130395587
2,1,0,26,32,-15.118879959721639
2,1,0,27,30,-15.119903539102976
2,1,0,27,31,-15.12042060755514
2,1,0,27,32,-15.120988472416178
2,1,0,27,33,-15.121813166172462
2,1,0,28,32,-15.123869109061411
2,1,0,28,33,-15.125024962508052
2,1,0,29,31,-15.125737546570335
2,1,0,30,31,-15.12877900196583
2,1,0,31,31,-15.132074075316975
2,1,0,32,30,-15.132486894188007
2,1,0,33,27,-15.126792878046318
2,1,0,33,28,-15.129976166203678
2,1,0,33,29,-15.133072854416646
2,1,0,34,25,-15.121026200916662
2,1,0,34,26,-15.124881302932769
2,1,0,35,22,-15.110130530362552
2,1,0,35,23,-15.113362663209845
2,1,0,35,24,-15.117256420236922
2,1,0,36,14,-15.098066742345065
2,1,0,36,15,-15.098232295981765
2,1,0,36,16,-15.098595898327414
2,1,0,36,17,-15.099127730105872
2,1,0,36,18,-15.0998567999537
2,1,0,36,19,-15.101017671218747
2,1,0,36,20,-15.102716748873728
2,1,0,36,21,-15.105081147623576
2,1,0,37,14,-15.095826406884767
2,1,0,38,12,-15.093599490066795
2,1,0,38,13,-15.093332073824108
2,1,0,39,11,-15.090521159744569
2,1,0,40,9,-15.087509834078242
2,1,0,40,10,-15.084384762831005
2,1,0,41,7,-15.086861633370287
2,1,0,41,8,-15.084765139471166
2,1,0,42,6,-15.084402447776144
2,1,0,43,5,-15.080941223390713
2,1,0,44,3,-15.080322515987211
2,1,0,44,4,-15.077011842740147
2,2,0,2,46,-14.952691220458387
2,2,0,3,46,-14.952628847998591
2,2,0,4,46,-14.952561810754926
2,2,0,5,45,-14.95302403588044
2,2,0,6,45,-14.95283029758787
2,2,0,7,44,-14.953351477262858
2,2,0,8,43,-14.953844378240577
2,2,0,8,54,-14.948416529159692
2,2,0,9,43,-14.953526319436763
2,2,0,9,52,-14.948967089143586
2,2,0,9,53,-14.948683896828788
2,2,0,10,42,-14.954145315532374
2,2,0,10,50,-14.949421905497186
2,2,0,10,51,-14.949090191093925
2,2,0,11,42,-14.953786959312673
2,2,0,11,48,-14.950005581686323
2,2,0,11,49,-14.949605930054817
2,2,0,12,9,-14.962762032057945
2,2,0,12,42,-14.95348685246202
2,2,0,12,46,-14.950756167188125
2,2,0,12,47,-14.950283907426082
2,2,0,13,10,-14.962976039391844
2,2,0,13,42,-14.95323087836938
2,2,0,13,44,-14.951709805932213
2,2,0,13,45,-14.95115210646689
2,2,0,13,52,-14.9489734115222
2,2,0,13,53,-14.948824500466593
