kper,kstp,k,i,j,SPq
2,26,0,32,30,-51.91962327881572
2,26,0,33,30,-47.526878106029585
2,26,0,33,31,-1.6475112494941868
2,26,0,33,32,-11.034456875290061
2,26,0,33,33,-3.0305191556720956
2,26,0,34,30,-8.986992411250412
2,26,0,34,31,-13.854342670786195
2,26,0,34,33,-6.390781356591788
2,26,0,35,33,-10.410819446177129
2,26,0,36,32,-13.375548231694324
2,26,0,36,33,-15.605659526868749
2,26,0,37,32,-20.587647162985945
2,27,0,32,30,-52.48390420791782
2,27,0,33,30,-48.0986226347909
2,27,0,33,31,-2.249110466776756
2,27,0,33,32,-11.67751784771076
2,27,0,33,33,-3.7061054638847963
2,27,0,34,30,-9.609189275655922
2,27,0,34,31,-14.504261243637416
2,27,0,34,33,-7.085530826752915
2,27,0,35,33,-11.116953656448118
2,27,0,36,32,-14.073573435169806
2,27,0,36,33,-16.316993413003615
2,27,0,37,32,-21.301215467080624
2,28,0,32,30,-53.06222705202697
2,28,0,33,30,-48.66664866591452
2,28,0,33,31,-2.8397680847119773
2,28,0,33,32,-12.311229820052404
2,28,0,33,33,-4.376477798798987
2,28,0,34,30,-10.227428086553346
2,28,0,34,31,-15.144978515562684
2,28,0,34,33,-7.7737312221916
2,28,0,35,33,-11.818202842910068
2,28,0,36,32,-14.768124640770907
2,28,0,36,33,-17.025789414136625
2,28,0,37,32,-22.018449846851126
2,29,0,32,30,-53.41444050096868
2,29,0,33,30,-49.00172114234181
2,29,0,33,31,-3.1917803545724155
2,29,0,33,32,-12.706192480631898
2,29,0,33,33,-4.8121680531702395
2,29,0,34,30,-10.611213117128273
2,29,0,34,31,-15.545691558425347
2,29,0,34,33,-8.223715085350705
2,29,0,35,33,-12.282219868101834
2,29,0,36,32,-15.226710632355207
2,29,0,36,33,-17.499857271290807
2,29,0,37,32,-22.505164724249994
2,30,0,32,30,-53.7379345828092
2,30,0,33,30,-49.30940343048576
2,30,0,33,31,-3.5128318969984775
2,30,0,33,32,-13.069290952744268
2,30,0,33,33,-5.219395484598522
2,30,0,34,30,-10.966753786644063
2,30,0,34,31,-15.913265436824418
2,30,0,34,33,-8.642149391832618
2,30,0,35,33,-12.715362348478266
2,30,0,36,32,-15.655448938276322
2,30,0,36,33,-17.945524070421925
2,30,0,37,32,-22.966417052064457
2,31,0,32,30,-54.21261209050374
2,31,0,33,30,-49.76934406139651
2,31,0,33,31,-3.9839344519596125
2,31,0,33,32,-13.582351249683256
2,31,0,33,33,-5.779609237471618
2,31,0,34,30,-11.475817420253179
2,31,0,34,31,-16.430246383431268
2,31,0,34,33,-9.211986770307135
2,31,0,35,33,-13.300736639223373
2,31,0,36,32,-16.237348094627123
2,31,0,36,33,-18.545862628990335
2,31,0,37,32,-23.585672700651116
2,32,0,32,30,-54.59934182653308
2,32,0,33,30,-50.12658281085453
2,32,0,33,31,-4.347810736451834
2,32,0,33,32,-13.987477934093931
2,32,0,33,33,-6.234688846505605
2,32,0,34,30,-11.879913531879083
2,32,0,34,31,-16.838137419705276
2,32,0,34,33,-9.674235574620752
2,32,0,35,33,-13.779027569149662
2,32,0,36,32,-16.71292437356624
2,32,0,36,33,-19.041439190945198
2,32,0,37,32,-24.10274348842279
2,33,0,32,30,-54.77656164384064
2,33,0,33,30,-50.2731761609258
2,33,0,33,31,-4.497483019236256
2,33,0,33,32,-14.176230635999218
2,33,0,33,33,-6.475479118644785
2,33,0,34,30,-12.069398101028014
2,33,0,34,31,-17.02772513454977
2,33,0,34,33,-9.918825558433014
2,33,0,35,33,-14.039566287639104
2,33,0,36,32,-16.971156037628475
2,33,0,36,33,-19.321282941535742
2,33,0,37,32,-24.404710047619005
2,34,0,32,30,-55.2150337642837
2,34,0,33,30,-50.68502770669613
2,34,0,33,31,-4.910509633050424
2,34,0,33,32,-14.627360807833156
2,34,0,33,33,-6.980143518536465
2,34,0,34,30,-12.52357173130406
2,34,0,34,31,-17.479240099427557
2,34,0,34,33,-10.426695965255703
2,34,0,35,33,-14.563735723878494
2,34,0,36,32,-17.493347000365247
2,34,0,36,33,-19.8665933637551
2,34,0,37,32,-24.97380741052939
2,35,0,32,30,-55.706141261790776
2,35,0,33,30,-51.148083080770334
2,35,0,33,31,-5.373302846275465
2,35,0,33,32,-15.128409428647046
2,35,0,33,33,-7.536429098529652
2,35,0,34,30,-13.029774330598457
2,35,0,34,31,-17.98026528493176
2,35,0,34,33,-10.98552823912189
2,35,0,35,33,-15.139341580314863
2,35,0,36,32,-18.06732982610731
2,35,0,36,33,-20.465094010033454
2,35,0,37,32,-25.598469988531406
2,36,0,32,30,-55.932054142560446
2,36,0,33,30,-51.3463593321477
2,36,0,33,31,-5.5704199091979945
2,36,0,33,32,-15.36298949334855
2,36,0,33,33,-7.827880522002488
2,36,0,34,30,-13.270188404357555
2,36,0,34,31,-18.213187161010524
2,36,0,34,33,-11.276868396729242
2,36,0,35,33,-15.44734192584906
2,36,0,36,32,-18.37385654948048
2,36,0,36,33,-20.797532741711052
2,36,0,37,32,-25.957748840845284
2,37,0,32,30,-56.08215551288333
2,37,0,33,30,-51.46951204088714
2,37,0,33,31,-5.691438789781046
2,37,0,33,32,-15.519761358622532
2,37,0,33,33,-8.042446824128547
2,37,0,34,30,-13.432878772122649
2,37,0,34,31,-18.366725226873314
2,37,0,34,33,-11.489153292394008
2,37,0,35,33,-15.675906813144366
2,37,0,36,32,-18.60082270659882
2,37,0,36,33,-21.05177420171003
2,37,0,37,32,-26.238243053482847
2,38,0,32,30,-56.45758865216635
2,38,0,33,30,-51.81042861771232
2,38,0,33,31,-6.027622875292764
2,38,0,33,32,-15.890648451920924
2,38,0,33,33,-8.471593257467362
2,38,0,34,30,-13.810660816333666
2,38,0,34,31,-18.734033769977145
2,38,0,34,33,-11.916071627152974
2,38,0,35,33,-16.119145268976695
2,38,0,36,32,-19.042309002735806
2,38,0,36,33,-21.521751314169364
2,38,0,37,32,-26.73492640653558
2,39,0,32,30,-56.48504897301427
2,39,0,33,30,-51.80353569107581
2,39,0,33,31,-6.0140278196106465
2,39,0,33,32,-15.909232287634836
2,39,0,33,33,-8.548532779807715
2,39,0,34,30,-13.835588081951641
2,39,0,34,31,-18.747194466046835
2,39,0,34,33,-11.988400714611316
2,39,0,35,33,-16.20710049567697
2,39,0,36,32,-19.128073898230923
2,39,0,36,33,-21.637168526580354
2,39,0,37,32,-26.87545379238668
2,40,0,32,30,-56.530236990522326
2,40,0,33,30,-51.81065669216525
2,40,0,33,31,-6.011580932962829
2,40,0,33,32,-15.935620030745326
2,40,0,33,33,-8.632384808604797
2,40,0,34,30,-13.867857284916568
2,40,0,34,31,-18.766899117007256
2,40,0,34,33,-12.066618310553281
2,40,0,35,33,-16.300192871857007
2,40,0,36,32,-19.218294755466218
2,40,0,36,33,-21.758080788039706
2,40,0,37,32,-27.01919783346682
2,41,0,32,30,-56.50389957770483
2,41,0,33,30,-51.746592835364595
2,41,0,33,31,-5.935393131584533
2,41,0,33,32,-15.884396138933084
2,41,0,33,33,-8.636937637428446
2,41,0,34,30,-13.82171018953511
2,41,0,34,31,-18.707785128344767
2,41,0,34,33,-12.064811504898898
2,41,0,35,33,-16.312330225910955
2,41,0,36,32,-19.226650828048832
2,41,0,36,33,-21.7980051038777
2,41,0,37,32,-27.078998571920238
2,42,0,32,30,-56.51405623602568
2,42,0,33,30,-51.72438939066785
2,42,0,33,31,-5.899821070935104
2,42,0,33,32,-15.870341088014698
2,42,0,33,33,-8.676391621294897
2,42,0,34,30,-13.811904784236617
2,42,0,34,31,-18.685163526582755
2,42,0,34,33,-12.098169996710908
2,42,0,35,33,-16.358794671076794
2,42,0,36,32,-19.268312345409072
2,42,0,36,33,-21.871899636394005
2,42,0,37,32,-27.16997693178473
2,43,0,32,30,-56.32688592080967
2,43,0,33,30,-51.51498987799812
2,43,0,33,31,-5.6776767387164
2,43,0,33,32,-15.665997916168863
2,43,0,33,33,-8.522849481323078
2,43,0,34,30,-13.609862026666178
2,43,0,34,31,-18.471029729001316
2,43,0,34,33,-11.93794388144272
2,43,0,35,33,-16.21046715040643
2,43,0,36,32,-19.113954693344112
2,43,0,36,33,-21.75026863597145
2,43,0,37,32,-27.061531697641385
2,44,0,32,30,-56.409985534371
2,44,0,33,30,-51.57794672537034
2,44,0,33,31,-5.728170868731922
2,44,0,33,32,-15.732180144475592
2,44,0,33,33,-8.636904476330301
2,44,0,34,30,-13.677396279862819
2,44,0,34,31,-18.52774357493547
2,44,0,34,33,-12.047290145931697
2,44,0,35,33,-16.33112256146933
2,44,0,36,32,-19.22745297128813
2,44,0,36,33,-21.896727033547677
2,44,0,37,32,-27.21894099581766
2,45,0,32,30,-56.33057809557772
2,45,0,33,30,-51.48479158823454
2,45,0,33,31,-5.623938581238804
2,45,0,33,32,-15.641867862091999
2,45,0,33,33,-8.591856587347593
2,45,0,34,30,-13.586698925495625
2,45,0,34,31,-18.427519901927326
2,45,0,34,33,-11.997948357226846
2,45,0,35,33,-16.292288782699075
2,45,0,36,32,-19.180355259664452
2,45,0,36,33,-21.882663330371884
2,45,0,37,32,-27.213296367085263
2,46,0,32,30,-55.97500195741259
2,46,0,33,30,-51.128732690302286
2,46,0,33,31,-5.259931019322721
2,46,0,33,32,-15.289094942528777
2,46,0,33,33,-8.281472420862542
2,46,0,34,30,-13.230415156626918
2,46,0,34,31,-18.063550193116953
2,46,0,34,33,-11.6823934462044
2,46,0,35,33,-15.985903155476194
2,46,0,36,32,-18.864392364036235
2,46,0,36,33,-21.59973598135366
2,46,0,37,32,-26.934416364169238
2,47,0,32,30,-55.61070381983677
2,47,0,33,30,-50.764384543700544
2,47,0,33,31,-4.88887455216684
2,47,0,33,32,-14.9260171949212
2,47,0,33,33,-7.957208579244593
2,47,0,34,30,-12.860720839110172
2,47,0,34,31,-17.688548062100836
2,47,0,34,33,-11.353312326666128
2,47,0,35,33,-15.664612621561673
2,47,0,36,32,-18.532033100200465
2,47,0,36,33,-21.300281823046475
2,47,0,37,32,-26.634043965059163
2,48,0,32,30,-55.482677606958305
2,48,0,33,30,-50.63086826047652
2,48,0,33,31,-4.747801252910108
2,48,0,33,32,-14.790641155849244
2,48,0,33,33,-7.856859091174897
2,48,0,34,30,-12.71694528894011
2,48,0,34,31,-17.54183333544836
2,48,0,34,33,-11.250637032169607
2,48,0,35,33,-15.56890797703943
2,48,0,36,32,-18.423877147474855
2,48,0,36,33,-21.22466994196884
2,48,0,37,32,-26.554174799691737
2,49,0,32,30,-55.31802882490024
2,49,0,33,30,-50.46248563199265
2,49,0,33,31,-4.571626652102054
2,49,0,33,32,-14.61840961537348
2,49,0,33,33,-7.716225515011047
2,49,0,34,30,-12.534658967210362
2,49,0,34,31,-17.358576758347454
2,49,0,34,33,-11.109357609902645
