kper,kstp,k,i,j,AWq
2,1,0,17,44,-114.43691571210002
2,1,0,17,45,-117.32318265318474
2,1,0,18,19,-132.23818843759364
2,1,0,18,20,-144.45879263484028
2,1,0,18,40,158.201117502388
2,1,0,18,42,-115.27564120194052
2,1,0,19,21,-145.42950400821667
2,1,0,19,40,150.94158678651047
2,1,0,19,41,-124.49906640727863
2,1,0,20,22,-139.96462828055974
2,1,0,20,39,61.3032440834553
2,1,0,20,41,-89.57269260522378
2,1,0,21,23,-137.77529500285675
2,1,0,21,36,-102.48136698839915
2,1,0,21,37,-92.32332428599318
2,1,0,21,38,-82.79868660320653
2,1,0,21,39,-73.76678436108318
2,1,0,21,40,-70.37396436496351
2,1,0,21,41,-75.95813017811929
2,1,0,22,24,-130.12858841347202
2,1,0,22,35,-95.23810682868896
2,1,0,23,25,-115.64993156383957
2,1,0,23,26,-110.64579971265164
2,1,0,23,34,-87.8060271112505
2,1,0,24,27,-100.99861648046715
2,1,0,24,28,-96.74757783662562
2,1,0,24,33,-79.63521930734282
2,1,0,25,29,-84.99902669815049
2,1,0,25,33,-65.37394397657283
2,1,0,26,29,-87.03557158474973
2,1,0,26,32,-63.75145165668437
2,1,0,27,30,80.4241354067716
2,1,0,27,31,-65.39943546620918
2,1,0,27,32,-49.208732439186406
2,1,0,27,33,-45.463828285841146
2,1,0,28,32,-50.96926460592988
2,1,0,28,33,-41.092817571505975
2,1,0,29,31,-55.105604690121595
2,1,0,30,31,-51.85813878507713
2,1,0,31,31,-42.14633347277584
2,1,0,32,30,-37.33445450930401
2,1,0,33,27,-53.51911857738901
2,1,0,33,28,-42.74325098531256
2,1,0,33,29,-32.969370179222324
2,1,0,34,25,-58.75526705095979
2,1,0,34,26,-51.60530176215127
2,1,0,35,22,-63.18223693201389
2,1,0,35,23,-55.63436437863186
2,1,0,35,24,-52.317830292932854
2,1,0,36,14,-100.59684263981399
2,1,0,36,15,-87.45205039666575
2,1,0,36,16,-79.04055909009344
2,1,0,36,17,-72.3738415142293
2,1,0,36,18,-65.71164724834853
2,1,0,36,19,-60.19405394898297
2,1,0,36,20,-55.4320013222806
2,1,0,36,21,-52.796104065874715
2,1,0,37,14,-80.56395230271153
2,1,0,38,12,-90.19782802816326
2,1,0,38,13,-75.11227373003851
2,1,0,39,11,-81.29541627621381
2,1,0,40,9,-80.56675952829312
2,1,0,40,10,-51.249754667998445
2,1,0,41,7,-96.19146923669837
2,1,0,41,8,-68.90230342026052
2,1,0,42,6,-93.20600824824692
2,1,0,43,5,-84.51575757877242
2,1,0,44,3,-30.66548644117745
2,1,0,44,4,-25.568961061201662
2,2,0,2,46,-26.63378451341896
2,2,0,3,46,-0.31262313993715907
2,2,0,4,46,10.513952774406562
2,2,0,5,45,-78.9831199294058
2,2,0,6,45,-74.52311859318093
2,2,0,7,44,-77.1150883563812
2,2,0,8,43,-72.23556494710238
2,2,0,8,54,-3.003065684495027
2,2,0,9,43,-64.54379154391052
2,2,0,9,52,-2.814317242786956
2,2,0,9,53,2.7666448646198205
2,2,0,10,42,-65.37680410342512
2,2,0,10,50,3.3853251676047194
