kper,kstp,k,i,j,PWq
2,14,0,40,38,-7.048643611143689
2,14,0,41,38,-8.19261225601224
2,14,0,42,38,-15.864103936255106
2,14,0,43,38,-23.46886466399326
2,14,0,44,38,-35.49322447232498
2,14,0,45,37,150.5260825694129
2,14,0,45,38,-45.47365076261326
2,15,0,22,40,-80.3038890950852
2,15,0,23,40,-59.103353212026605
2,15,0,24,39,-60.14808585830019
2,15,0,25,39,-27.364513453415952
2,15,0,26,38,-58.11386596744683
2,15,0,27,38,-56.86645485200472
2,15,0,28,38,36.7590782273287
2,15,0,29,37,-33.44257087817391
2,15,0,30,37,-14.996842484369495
2,15,0,31,37,3.757145232288508
2,15,0,32,36,-4.9216862578649625
2,15,0,33,36,-0.5045045146714529
2,15,0,34,37,-9.578231913404352
2,15,0,35,37,-5.975682009436014
2,15,0,36,37,-17.406914113584094
2,15,0,37,37,-7.7592401729527865
2,15,0,38,37,-2.0172154987137674
2,15,0,39,38,-10.632972307636805
2,15,0,40,38,-6.910026342534138
2,15,0,41,38,-8.053182507383895
2,15,0,42,38,-15.722461663718946
2,15,0,43,38,-23.323747510183125
2,15,0,44,38,-35.342882900345444
2,15,0,45,37,150.67505312659694
2,15,0,45,38,-45.317165839642485
2,16,0,22,40,-79.98827855679076
2,16,0,23,40,-58.83680859142089
2,16,0,24,39,-59.92068926043078
2,16,0,25,39,-27.160860079360077
2,16,0,26,38,-57.91853215321919
2,16,0,27,38,-56.683859307141006
2,16,0,28,38,36.8268853363478
2,16,0,29,37,-33.297227047562956
2,16,0,30,37,-14.82808077467348
2,16,0,31,37,3.9351792644124544
2,16,0,32,36,-4.759821898729115
2,16,0,33,36,-0.3502155767095019
2,16,0,34,37,-9.417950495314813
2,16,0,35,37,-5.817468821313923
2,16,0,36,37,-17.250186179660773
2,16,0,37,37,-7.604149900713992
2,16,0,38,37,-1.864681368545007
2,16,0,39,38,-10.471000197700846
2,16,0,40,38,-6.748574974146322
2,16,0,41,38,-7.890826758822527
2,16,0,42,38,-15.557790880938114
2,16,0,43,38,-23.15553185093256
2,16,0,44,38,-35.16995031700992
2,16,0,45,37,150.84892033249832
2,16,0,45,38,-45.140549327700796
2,17,0,22,40,-79.67414866113393
2,17,0,23,40,-58.57917720252135
2,17,0,24,39,-59.70051195802216
2,17,0,25,39,-26.968023543119557
2,17,0,26,38,-57.732958692176226
2,17,0,27,38,-56.51710201778485
2,17,0,28,38,36.87710477066241
2,17,0,29,37,-33.173162827246756
2,17,0,30,37,-14.681888260401138
2,17,0,31,37,4.093571100570443
2,17,0,32,36,-4.609193621065629
2,17,0,33,36,-0.2068265116084831
2,17,0,34,37,-9.272183809806506
2,17,0,35,37,-5.673431002319944
2,17,0,36,37,-17.107592097459133
2,17,0,37,37,-7.462830297500204
2,17,0,38,37,-1.7235645840497682
2,17,0,39,38,-10.323362277825595
2,17,0,40,38,-6.601000691854779
2,17,0,41,38,-7.742189442643166
2,17,0,42,38,-15.406765762803502
2,17,0,43,38,-23.001041976723627
2,17,0,44,38,-35.01155794805584
2,17,0,45,37,151.01084288830134
2,17,0,45,38,-44.98082953758558
2,18,0,22,40,-79.34075051973525
