kper,kstp,k,i,j,CONFq
1,1,0,15,10,4.721990319736065
1,1,0,15,11,4.894491394465373
1,1,0,15,12,5.144465407728495
1,1,0,15,13,5.106915715789686
1,1,0,15,14,4.773806307428082
1,1,0,15,15,4.765576823707098
1,1,0,15,16,4.752397377094175
1,1,0,15,17,4.667760268215076
1,1,0,15,18,4.490568833623479
1,1,0,15,19,4.315430311488502
1,1,0,15,20,4.157084359186429
1,1,0,15,21,4.009818628630056
1,1,0,15,22,3.875478530811124
1,1,0,15,23,3.7571913410518487
1,1,0,15,24,3.6570798816746866
1,1,0,15,25,3.576214463992768
1,1,0,15,26,3.5149840845155413
1,1,0,15,27,3.473413386978814
1,1,0,15,28,3.4513640784100925
1,1,0,15,29,3.448619618985079
1,1,0,15,30,3.4648794214955085
1,1,0,15,31,3.4996988843812655
1,1,0,15,32,3.5524199036077793
1,1,0,15,33,3.6221437176416096
1,1,0,15,34,3.7078076710254013
1,1,0,15,35,3.808451135172332
1,1,0,15,36,3.923791501489804
1,1,0,15,37,4.055230444967368
1,1,0,15,38,4.207244673982164
1,1,0,15,39,4.388599238176996
1,1,0,15,40,4.6114310808347465
1,1,0,15,41,4.880050870737506
1,1,0,15,42,5.042950301989107
1,1,0,15,43,5.148723496577652
1,1,0,15,44,5.274486904741943
1,1,0,15,45,5.410724225088007
1,1,0,15,46,5.581138595336149
1,1,0,15,47,5.7399861724913475
1,1,0,15,48,6.008719754306039
1,1,0,15,49,6.059751902861295
1,1,0,15,50,5.886494862921207
1,1,0,15,51,5.819969091097375
1,1,0,15,52,5.741763689613451
1,1,0,15,53,5.703806158222763
1,1,0,15,54,5.688778723715055
1,1,0,15,55,5.684045686961534
1,1,0,16,5,3.5095164718131286
1,1,0,16,6,3.646630846977299
1,1,0,16,7,3.80658091868896
1,1,0,16,8,3.985534990280401
1,1,0,16,9,4.17772267739239
1,1,0,16,10,4.3697393721811295
1,1,0,16,11,4.532637339555578
1,1,0,16,12,4.6769652162574005
1,1,0,16,13,4.716598225421675
1,1,0,16,14,4.675374443773929
1,1,0,16,15,5.093988724303241
1,1,0,16,16,5.218539288781194
1,1,0,16,17,5.175126684981414
1,1,0,16,18,4.8622649518438585
1,1,0,16,19,4.6398985552686085
1,1,0,16,20,4.465830228094882
1,1,0,16,21,4.2974418532334635
1,1,0,16,22,4.142268306018286
1,1,0,16,23,4.006538378455085
1,1,0,16,24,3.8927719820317943
1,1,0,16,25,3.8015918075082755
1,1,0,16,26,3.732817746563528
1,1,0,16,27,3.6859973537059663
1,1,0,16,28,3.6606752984194717
1,1,0,16,29,3.6564549040330636
1,1,0,16,30,3.6729213129444
1,1,0,16,31,3.7094818856096943
1,1,0,16,32,3.7651823890796567
1,1,0,16,33,3.838557910493357
1,1,0,16,34,3.9275831966312253
1,1,0,16,35,4.029838690985471
1,1,0,16,36,4.143140482888219
1,1,0,16,37,4.2670569585992855
1,1,0,16,38,4.405709558070692
1,1,0,16,39,4.571900445619557
1,1,0,16,40,4.7935220241010885
1,1,0,16,41,5.110442215934581
1,1,0,16,42,5.377002289980364
1,1,0,16,43,5.534043590032761
1,1,0,16,44,5.645024172215033
1,1,0,16,45,5.7599260870531115
1,1,0,16,46,5.993820185312172
1,1,0,16,47,6.018273781191363
1,1,0,16,48,5.837891198351404
1,1,0,16,49,5.753921497849699
1,1,0,16,50,5.646943416929613
1,1,0,16,51,5.568433099516623
1,1,0,16,52,5.503695806016951
1,1,0,16,53,5.461521573369383
1,1,0,16,54,5.438104063641296
1,1,0,16,55,5.427968663898767
1,1,0,17,5,3.4062155198178274
1,1,0,17,6,3.497076905270079
1,1,0,17,7,3.6246240336150883
1,1,0,17,8,3.7718561025301724
1,1,0,17,9,3.929202935404737
1,1,0,17,10,4.086144671355122
1,1,0,17,11,4.229979554441691
1,1,0,17,12,4.355750898770724
1,1,0,17,13,4.448995789283677
1,1,0,17,14,4.5429379841664375
1,1,0,17,15,4.7454978056259325
1,1,0,17,16,4.891539836269047
1,1,0,17,17,5.000937223739198
1,1,0,17,18,5.186287065151568
1,1,0,17,19,4.957405209220765
1,1,0,17,20,4.809071206407307
1,1,0,17,21,4.610899848542026
1,1,0,17,22,4.4276348500986416
1,1,0,17,23,4.271043044616823
1,1,0,17,24,4.142242598648295
1,1,0,17,25,4.04031534036743
1,1,0,17,26,3.9639818222239924
1,1,0,17,27,3.9120459553988134
1,1,0,17,28,3.88367735327825
1,1,0,17,29,3.8783754264833945
1,1,0,17,30,3.895763363391172
1,1,0,17,31,3.9352718469276233
1,1,0,17,32,3.995787401090178
1,1,0,17,33,4.075319887225946
1,1,0,17,34,4.1707089769623895
1,1,0,17,35,4.277438263720576
1,1,0,17,36,4.389894516568058
1,1,0,17,37,4.503004788297535
1,1,0,17,38,4.61642665759374
1,1,0,17,39,4.740670227085369
1,1,0,17,40,4.922685927266862
1,1,0,17,41,5.368634818421937
1,1,0,17,42,5.866828742369879
1,1,0,17,43,6.012730204338653
