kper,kstp,k,i,j,PWq
2,17,0,28,38,-4.614056588051669
2,17,0,29,37,-5.136373936915622
2,17,0,30,37,-5.394536341025042
2,17,0,31,37,-5.520427869998312
2,17,0,32,36,-5.862421119578945
2,17,0,33,36,-6.092021554951957
2,17,0,34,37,-6.440779851052591
2,17,0,35,37,-6.547578454269618
2,17,0,36,37,-6.689633234805525
2,17,0,37,37,-6.8446231007149585
2,17,0,38,37,-7.006081382306194
2,17,0,39,38,-7.223165071873933
2,17,0,40,38,-7.283504682853483
2,17,0,41,38,-7.354440181196495
2,17,0,42,38,-7.419174917083075
2,17,0,43,38,-7.470591604167647
2,17,0,44,38,-7.504535114369391
2,17,0,45,37,-7.548824345629864
2,17,0,45,38,-7.5186670500572985
2,18,0,22,40,-3.710426982622004
2,18,0,23,40,-3.7655100438007434
2,18,0,24,39,-3.9496998006142787
2,18,0,25,39,-4.026737770748258
2,18,0,26,38,-4.232786338576206
2,18,0,27,38,-4.322581819193502
2,18,0,28,38,-4.375904148736363
2,18,0,29,37,-4.874602204669342
2,18,0,30,37,-5.122038916792401
2,18,0,31,37,-5.242618089072031
2,18,0,32,36,-5.570312284090963
2,18,0,33,36,-5.790676801523689
2,18,0,34,37,-6.125672208483103
2,18,0,35,37,-6.228263708154156
2,18,0,36,37,-6.364764473148681
2,18,0,37,37,-6.5137374702219155
2,18,0,38,37,-6.668964536759055
2,18,0,39,38,-6.878016483761879
2,18,0,40,38,-6.936106131710301
2,18,0,41,38,-7.004441255805061
2,18,0,42,38,-7.0668533768383925
2,18,0,43,38,-7.116479118561026
2,18,0,44,38,-7.149299803579813
2,18,0,45,37,-7.1918826374313145
2,18,0,45,38,-7.163030639171126
2,19,0,22,40,-3.5144116855952077
2,19,0,23,40,-3.567617954305424
2,19,0,24,39,-3.7447848581845387
2,19,0,25,39,-3.818826206565361
2,19,0,26,38,-4.016957739721833
2,19,0,27,38,-4.103520888538914
2,19,0,28,38,-4.157982091316852
2,19,0,29,37,-4.634040747369132
2,19,0,30,37,-4.871070503649612
