kper,kstp,time,k,i,j,AWq
4,22,76.0,0,0,26,-3.7207357441307636
4,22,76.0,0,1,24,-3.906695007377323
4,22,76.0,0,2,22,-2.397497988209352
4,22,76.0,0,2,23,-3.6396899255361745
4,22,76.0,0,3,21,-2.1700002438888646
4,22,76.0,0,4,21,-2.7386968766001303
4,22,76.0,0,5,20,-1.8727433160153453
4,22,76.0,0,6,20,-2.0157069330130923
4,22,76.0,0,7,20,-2.3313721606475895
4,22,76.0,0,8,19,-1.603567678704053
4,22,76.0,0,9,19,-1.7130332534670885
4,22,76.0,0,10,18,-1.363788480779121
4,22,76.0,0,17,4,-0.7479449927788338
4,22,76.0,0,17,5,-0.97286849068783
4,22,76.0,0,18,2,-1.0323550437932312
4,22,76.0,0,18,3,-1.1331458030048296
4,22,76.0,0,18,4,-1.1461542388487516
4,22,76.0,0,18,5,-1.2454631047221625
4,22,76.0,0,18,6,-1.474110089402238
4,22,76.0,0,18,7,-1.701352173060016
4,22,76.0,0,18,8,-1.9850886527398472
4,22,76.0,0,19,0,-0.8582230287763721
4,22,76.0,0,19,1,-1.3157025367695923
4,22,76.0,0,19,9,-2.0378078212855897
4,22,76.0,0,19,10,-1.9454349337940329
4,22,76.0,0,19,11,-2.00003052578338
4,22,76.0,0,19,12,-2.2517179911888405
4,22,76.0,0,20,0,-1.51032325853145
4,22,76.0,0,20,13,-2.2333964291162403
4,22,76.0,0,21,14,-2.038486137070116
4,22,76.0,0,22,14,-1.8667595197206381
4,22,76.0,0,23,15,-1.741164513842989
4,22,76.0,0,23,16,-1.7468805905528058
4,22,76.0,0,23,17,-2.0256221704070896
4,22,76.0,0,23,22,-3.0132616827741856
4,22,76.0,0,24,18,-2.3706243354447096
4,22,76.0,0,24,19,-2.4827023215768733
4,22,76.0,0,24,20,-2.815190536805005
4,22,76.0,0,24,21,-3.466669732152063
4,23,77.0,0,0,25,-3.0089043408635234
4,23,77.0,0,0,26,-3.7174384566118874
4,23,77.0,0,1,24,-3.909356965253778
4,23,77.0,0,2,22,-2.3909338605593575
4,23,77.0,0,2,23,-3.643618369152989
4,23,77.0,0,3,21,-2.1640580315442435
4,23,77.0,0,4,21,-2.741703945118701
4,23,77.0,0,5,20,-1.8693913581893185
4,23,77.0,0,6,20,-2.0163287954082136
4,23,77.0,0,7,20,-2.338557180732181
4,23,77.0,0,8,19,-1.606491140164536
4,23,77.0,0,9,19,-1.7202677361688785
4,23,77.0,0,10,18,-1.370185906537742
4,23,77.0,0,17,4,-0.7480675267928589
4,23,77.0,0,17,5,-0.9751003566998904
4,23,77.0,0,18,2,-1.0342713559536563
4,23,77.0,0,18,3,-1.1357296507870132
4,23,77.0,0,18,4,-1.1489694522277176
4,23,77.0,0,18,5,-1.249002646991606
4,23,77.0,0,18,6,-1.4794348073462302
4,23,77.0,0,18,7,-1.7075077228091402
4,23,77.0,0,18,8,-1.9924751404945837
4,23,77.0,0,19,0,-0.8584185792168668
4,23,77.0,0,19,1,-1.3193635024933812
4,23,77.0,0,19,9,-2.0449272538268133
4,23,77.0,0,19,10,-1.9519169074033016
4,23,77.0,0,19,11,-2.006788674374178
4,23,77.0,0,19,12,-2.259737975122192
4,23,77.0,0,20,0,-1.5139454379368473
4,23,77.0,0,20,13,-2.242042346994971
4,23,77.0,0,21,14,-2.046203088052799
4,23,77.0,0,22,14,-1.8733599110572499
4,23,77.0,0,23,15,-1.7462336718257134
4,23,77.0,0,23,16,-1.7518756526137267
4,23,77.0,0,23,17,-2.0319970894644257
4,23,77.0,0,23,22,-3.0215690094606202
4,23,77.0,0,24,18,-2.3761128210852505
4,23,77.0,0,24,19,-2.4882178580584267
4,23,77.0,0,24,20,-2.8213815019442805
4,23,77.0,0,24,21,-3.4740417466927482
4,24,78.0,0,0,25,-2.9962165609111935
4,24,78.0,0,0,26,-3.708608436593579
4,24,78.0,0,1,24,-3.9054559778751354
4,24,78.0,0,2,22,-2.37961992254543
4,24,78.0,0,2,23,-3.641046068288574
4,24,78.0,0,3,21,-2.153367269057412
4,24,78.0,0,4,21,-2.7391075796964515
4,24,78.0,0,5,20,-1.8618724411651613
4,24,78.0,0,6,20,-2.012843028335169
4,24,78.0,0,7,20,-2.3414684837548236
4,24,78.0,0,8,19,-1.6057035417139787
4,24,78.0,0,9,19,-1.7241614868433999
4,24,78.0,0,10,18,-1.3738976618116112
4,24,78.0,0,17,4,-0.7461176313047275
4,24,78.0,0,17,5,-0.9752352391067021
4,24,78.0,0,18,2,-1.0342648627621998
