kper,kstp,time,k,i,j,SPq
4,20,74.0,0,23,23,-3.453762618673757
4,21,75.0,0,12,18,-1.8134494652191293
4,21,75.0,0,12,24,-3.447073499173257
4,21,75.0,0,12,25,-4.254660209461093
4,21,75.0,0,13,19,-1.7176200886702304
4,21,75.0,0,13,23,-2.815479302336371
4,21,75.0,0,13,26,-4.512591644886527
4,21,75.0,0,14,19,-1.9608788459106705
4,21,75.0,0,14,20,-1.9417151003342354
4,21,75.0,0,14,21,-2.122619744850894
4,21,75.0,0,14,22,-2.4862319376444333
4,21,75.0,0,14,26,-3.9268505031310497
4,21,75.0,0,15,27,-4.796538754426763
4,21,75.0,0,16,27,-4.131059283392773
4,21,75.0,0,17,27,-3.929714844248423
4,21,75.0,0,18,27,-4.160717286305527
4,21,75.0,0,19,25,-2.9224641209439
4,21,75.0,0,19,26,-3.444857683452497
4,21,75.0,0,20,24,-2.666676908705327
4,21,75.0,0,21,24,-2.5022954047587476
4,21,75.0,0,22,24,-3.0743272585455443
4,21,75.0,0,23,23,-3.463933504440398
4,22,76.0,0,12,18,-1.8239118521447324
4,22,76.0,0,12,24,-3.4654035856148084
4,22,76.0,0,12,25,-4.274990236666724
4,22,76.0,0,13,19,-1.7277301528869344
4,22,76.0,0,13,23,-2.832845095845556
4,22,76.0,0,13,26,-4.532183869681205
4,22,76.0,0,14,19,-1.9698949833916686
4,22,76.0,0,14,20,-1.9514588338037129
4,22,76.0,0,14,21,-2.133814192527524
4,22,76.0,0,14,22,-2.500771204269256
4,22,76.0,0,14,26,-3.944704951386086
4,22,76.0,0,15,27,-4.817309272400593
4,22,76.0,0,16,27,-4.1478217341688435
4,22,76.0,0,17,27,-3.9452925870254205
4,22,76.0,0,18,27,-4.176958189406122
4,22,76.0,0,19,25,-2.936352014535018
4,22,76.0,0,19,26,-3.4587029513960914
4,22,76.0,0,20,24,-2.678929650074096
4,22,76.0,0,21,24,-2.511866344929146
4,22,76.0,0,22,24,-3.083886120905035
4,22,76.0,0,23,23,-3.4735547276776018
4,23,77.0,0,12,18,-1.8325326869134813
4,23,77.0,0,12,24,-3.479480158119145
4,23,77.0,0,12,25,-4.290680795063935
4,23,77.0,0,13,19,-1.7357154517852535
4,23,77.0,0,13,23,-2.8461325725313884
4,23,77.0,0,13,26,-4.54700343363956
4,23,77.0,0,14,19,-1.976868583557149
4,23,77.0,0,14,20,-1.9587205289560785
4,23,77.0,0,14,21,-2.142154916716308
4,23,77.0,0,14,22,-2.511959211793183
4,23,77.0,0,14,26,-3.957879677029098
4,23,77.0,0,15,27,-4.833318540255249
4,23,77.0,0,16,27,-4.1604469132043675
4,23,77.0,0,17,27,-3.9570815552256136
4,23,77.0,0,18,27,-4.189693698302449
4,23,77.0,0,19,25,-2.9474428199347074
4,23,77.0,0,19,26,-3.469577010179634
4,23,77.0,0,20,24,-2.688868828498741
4,23,77.0,0,21,24,-2.5195308002644765
4,23,77.0,0,22,24,-3.091768288668135
4,23,77.0,0,23,23,-3.4815521714934334
4,24,78.0,0,12,18,-1.8392085372959883
4,24,78.0,0,12,24,-3.4888893809819876
4,24,78.0,0,12,25,-4.301254376822783
4,24,78.0,0,13,19,-1.7414718023158997
4,24,78.0,0,13,23,-2.8550346687590604
4,24,78.0,0,13,26,-4.556569153825876
4,24,78.0,0,14,19,-1.9817147736898164
4,24,78.0,0,14,20,-1.9633910438119813
4,24,78.0,0,14,21,-2.147495204924553
4,24,78.0,0,14,22,-2.519584447688416
4,24,78.0,0,14,26,-3.9659696214906717
4,24,78.0,0,15,27,-4.8441727986389935
4,24,78.0,0,16,27,-4.168612149270757
4,24,78.0,0,17,27,-3.9648216622905466
4,24,78.0,0,18,27,-4.198697472415574
4,24,78.0,0,19,25,-2.9555772695324833
4,24,78.0,0,19,26,-3.4773166139425484
4,24,78.0,0,20,24,-2.696372662717394
4,24,78.0,0,21,24,-2.5252010249748835
4,24,78.0,0,22,24,-3.097888148114329
4,24,78.0,0,23,23,-3.4878399557128503
4,25,79.0,0,12,18,-1.8439969244163237
4,25,79.0,0,12,24,-3.493783415829455
4,25,79.0,0,12,25,-4.306878885736609
4,25,79.0,0,13,19,-1.745081838937807
4,25,79.0,0,13,23,-2.859699675906313
4,25,79.0,0,13,26,-4.561061675578458
4,25,79.0,0,14,19,-1.9845280584805494
4,25,79.0,0,14,20,-1.9655934160399227
4,25,79.0,0,14,21,-2.1499739490361947
4,25,79.0,0,14,22,-2.5237836042454234
4,25,79.0,0,14,26,-3.969160918351804
4,25,79.0,0,15,27,-4.850056023840239
4,25,79.0,0,16,27,-4.1724926933263475
4,25,79.0,0,17,27,-3.968680122980487
4,25,79.0,0,18,27,-4.204109883320029
4,25,79.0,0,19,25,-2.9608607721329463
4,25,79.0,0,19,26,-3.4820420182488476
4,25,79.0,0,20,24,-2.7015249508614403
