kper,kstp,time,k,i,j,PWq
2,16,17.0,0,41,38,-1.2961872839561863
2,16,17.0,0,42,38,-1.5152752769707263
2,16,17.0,0,43,38,-1.6297969823812863
2,16,17.0,0,44,38,-1.78083469587569
2,16,17.0,0,45,37,1.2505690046463371
2,16,17.0,0,45,38,-1.9167670900843135
2,17,18.0,0,22,40,-81.52749918415556
2,17,18.0,0,23,40,-48.26177489984603
2,17,18.0,0,24,39,-24.252202172832593
2,17,18.0,0,25,39,-25.473346892631653
2,17,18.0,0,26,38,-92.223507432075
2,17,18.0,0,27,38,-86.9255903496558
2,17,18.0,0,28,38,-6.424089592194832
2,17,18.0,0,29,37,-61.01433990416615
2,17,18.0,0,30,37,-36.05982725070601
2,17,18.0,0,31,37,-22.36802306837137
2,17,18.0,0,32,36,-33.787560523528384
2,17,18.0,0,33,36,-17.4784688576091
2,17,18.0,0,34,37,-5.419991943323737
2,17,18.0,0,35,37,-3.185220673849358
2,17,18.0,0,36,37,-2.718954861706848
2,17,18.0,0,37,37,-1.4740628511075045
2,17,18.0,0,38,37,-1.4299574416922454
2,17,18.0,0,39,38,-1.3863605365439824
2,17,18.0,0,40,38,-1.2452474795074693
2,17,18.0,0,41,38,-1.2958108227351488
2,17,18.0,0,42,38,-1.5149629870538206
2,17,18.0,0,43,38,-1.629543002748182
2,17,18.0,0,44,38,-1.780633102990791
2,17,18.0,0,45,37,1.25065907112295
2,17,18.0,0,45,38,-1.9165867323103214
2,18,19.0,0,22,40,-80.93493919632998
2,18,19.0,0,23,40,-47.906004077704225
2,18,19.0,0,24,39,-24.07282629455894
2,18,19.0,0,25,39,-25.434304259240022
2,18,19.0,0,26,38,-91.85960952015762
2,18,19.0,0,27,38,-86.74877702855306
2,18,19.0,0,28,38,-6.38726609662956
2,18,19.0,0,29,37,-60.92456258473089
2,18,19.0,0,30,37,-36.007331212945815
2,18,19.0,0,31,37,-22.332557039859694
2,18,19.0,0,32,36,-33.7663544796884
2,18,19.0,0,33,36,-17.46300947939696
2,18,19.0,0,34,37,-5.41157568797783
2,18,19.0,0,35,37,-3.1803607920385417
2,18,19.0,0,36,37,-2.7169172832473123
2,18,19.0,0,37,37,-1.4731835235625326
2,18,19.0,0,38,37,-1.4293326801790087
2,18,19.0,0,39,38,-1.3857671865275165
2,18,19.0,0,40,38,-1.2447808196990167
2,18,19.0,0,41,38,-1.2954370184579247
2,18,19.0,0,42,38,-1.5146527795035674
2,18,19.0,0,43,38,-1.6292905970803382
2,18,19.0,0,44,38,-1.7804326285346619
2,18,19.0,0,45,37,1.2507485826053397
2,18,19.0,0,45,38,-1.9164070150481258
2,19,20.0,0,22,40,-80.34238121147139
2,19,20.0,0,23,40,-47.55023598031079
2,19,20.0,0,24,39,-23.89343258499396
2,19,20.0,0,25,39,-25.39330305087261
2,19,20.0,0,26,38,-91.48401442602196
2,19,20.0,0,27,38,-86.56253362240301
2,19,20.0,0,28,38,-6.35121687369832
2,19,20.0,0,29,37,-60.8362275711188
2,19,20.0,0,30,37,-35.95855278359403
2,19,20.0,0,31,37,-22.298965657228166
2,19,20.0,0,32,36,-33.74609886936935
2,19,20.0,0,33,36,-17.448363684799773
2,19,20.0,0,34,37,-5.403423534592065
2,19,20.0,0,35,37,-3.1756142408177794
2,19,20.0,0,36,37,-2.714907621017005
2,19,20.0,0,37,37,-1.4723119324592417
2,19,20.0,0,38,37,-1.428715388527479
2,19,20.0,0,39,38,-1.385179214006996
2,19,20.0,0,40,38,-1.2443177923802082
2,19,20.0,0,41,38,-1.2950658523716854
2,19,20.0,0,42,38,-1.5143446402761533
2,19,20.0,0,43,38,-1.6290397556016387
2,19,20.0,0,44,38,-1.7802332654133934
2,19,20.0,0,45,37,1.2508375431807082
2,19,20.0,0,45,38,-1.916227937224697
2,20,21.0,0,22,40,-79.75225931145818
2,20,21.0,0,23,40,-47.19593256783321
2,20,21.0,0,24,39,-23.714767276773976
2,20,21.0,0,25,39,-25.351487633142717
2,20,21.0,0,26,38,-91.1017586360264
2,20,21.0,0,27,38,-86.37389471509533
2,20,21.0,0,28,38,-6.320008681345314
2,20,21.0,0,29,37,-60.75625428790812
2,20,21.0,0,30,37,-35.92126652369859
