kper,kstp,time,k,i,j,SPq
2,25,26.0,0,33,31,-10.868852381314426
2,25,26.0,0,33,32,-22.26868573440808
2,25,26.0,0,33,33,-31.2553412162367
2,25,26.0,0,34,30,-2.4202838310278807
2,25,26.0,0,34,31,-5.760055202526104
2,25,26.0,0,34,33,-13.284316015665809
2,25,26.0,0,35,33,-6.906637747071969
2,25,26.0,0,36,32,-2.687097024611731
2,25,26.0,0,36,33,-3.791807258949902
2,25,26.0,0,37,32,-2.2047230715335076
2,26,27.0,0,33,30,-6.851713356053779
2,26,27.0,0,33,31,-10.972005853449957
2,26,27.0,0,33,32,-22.418265070099153
2,26,27.0,0,33,33,-31.4481683633675
2,26,27.0,0,34,30,-2.4557365591962252
2,26,27.0,0,34,31,-5.841597687042437
2,26,27.0,0,34,33,-13.449229955004142
2,26,27.0,0,35,33,-7.024195413726545
2,26,27.0,0,36,32,-2.7339171463090253
2,26,27.0,0,36,33,-3.8568541078618352
2,26,27.0,0,37,32,-2.2271443269718816
2,27,28.0,0,33,30,-6.914605353433622
2,27,28.0,0,33,31,-11.109233379099209
2,27,28.0,0,33,32,-22.619347436912165
2,27,28.0,0,33,33,-31.70932579296715
2,27,28.0,0,34,30,-2.502368097999934
2,27,28.0,0,34,31,-5.949248103328173
2,27,28.0,0,34,33,-13.668276369471073
2,27,28.0,0,35,33,-7.179644331044699
2,27,28.0,0,36,32,-2.7955049268500716
2,27,28.0,0,36,33,-3.9425601195240603
2,27,28.0,0,37,32,-2.256576603273203
2,28,29.0,0,33,30,-6.979175073613426
2,28,29.0,0,33,31,-11.248986858841391
2,28,29.0,0,33,32,-22.822555027080284
2,28,29.0,0,33,33,-31.971776774328134
2,28,29.0,0,34,30,-2.5503384639692257
2,28,29.0,0,34,31,-6.0594299378765015
2,28,29.0,0,34,33,-13.890477801100644
2,28,29.0,0,35,33,-7.338251059101026
2,28,29.0,0,36,32,-2.8588133788068575
2,28,29.0,0,36,33,-4.0304781464915465
2,28,29.0,0,37,32,-2.2869090270137242
2,29,30.0,0,33,30,-7.029091220807466
2,29,30.0,0,33,31,-11.353844849910544
2,29,30.0,0,33,32,-22.96985356064434
2,29,30.0,0,33,33,-32.157392924628965
2,29,30.0,0,34,30,-2.587837577594037
2,29,30.0,0,34,31,-6.144040726008527
2,29,30.0,0,34,33,-14.055830274995344
2,29,30.0,0,35,33,-7.458810569207344
2,29,30.0,0,36,32,-2.908201874892697
2,29,30.0,0,36,33,-4.098554175149218
2,29,30.0,0,37,32,-2.3107905189167752
2,30,31.0,0,33,30,-7.0774518886532505
2,30,31.0,0,33,31,-11.454164821199186
2,30,31.0,0,33,32,-23.108966754471737
2,30,31.0,0,33,33,-32.331376168555806
2,30,31.0,0,34,30,-2.624316902834323
2,30,31.0,0,34,31,-6.225755522540254
2,30,31.0,0,34,33,-14.21359819122884
2,30,31.0,0,35,33,-7.574785285811288
2,30,31.0,0,36,32,-2.956207318996391
2,30,31.0,0,36,33,-4.164518532242425
2,30,31.0,0,37,32,-2.3340913814694026
2,31,32.0,0,33,30,-7.136768999045607
2,31,32.0,0,33,31,-11.578664469828936
2,31,32.0,0,33,32,-23.28460911714501
