run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,oname:cum_otype:lst_usecol:chd2,cum,oname:cum_otype:lst_usecol:drn,oname:cum_otype:lst_usecol:in-out,oname:cum_otype:lst_usecol:percent-discrepancy,oname:cum_otype:lst_usecol:rcha,oname:cum_otype:lst_usecol:total,oname:cum_otype:lst_usecol:wel2,oname:cum_otype:lst_usecol:wel3,oname:cum_otype:lst_usecol:wel,oname:springobs_otype:lst_usecol:pk2_head,oname:springobs_otype:lst_usecol:pk4_head,oname:springobs_otype:lst_usecol:pk4_pk2_diff,oname:springobs_otype:lst_usecol:spring_flux,springobs,oname:springobs_otype:lst_usecol:spring_pk2_diff,oname:springobs_otype:lst_usecol:spring_pk4_diff,oname:cum_otype:lst_usecol:chd2_totim:1,oname:cum_otype:lst_usecol:chd_totim:1,oname:cum_otype:lst_usecol:drn_totim:1,oname:cum_otype:lst_usecol:in-out_totim:1,oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,oname:cum_otype:lst_usecol:rcha_totim:1,oname:cum_otype:lst_usecol:total_totim:1,oname:cum_otype:lst_usecol:wel2_totim:1,oname:cum_otype:lst_usecol:wel3_totim:1,oname:cum_otype:lst_usecol:wel_totim:1,oname:springobs_otype:lst_usecol:pk2_head_kper:0,oname:springobs_otype:lst_usecol:pk4_head_kper:0,oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_flux_kper:0,oname:springobs_otype:lst_usecol:spring_head_kper:0,oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0
206,206,0,37990.9556958992,37990.9556958992,0,0,0,10.498394203821,0,0,0.00203524051404959,0,7.44270390932948,0,4938.97178576895,1158.35107565999,815.934590680243,2.16086554711288,27956.8527494738,57.9086110711032,1734.25004156094,1308.58284278336,135.7072,-615.3448,-3331.2,-43.7357,-1.08,229.8452,-43.735596,505.3455,2.82,3029.0913,11.0034557080414,10.656456879913,-0.34699882812842,-53.1609085638993,6.88902292366259,-4.11443278437885,-3.76743395625043
207,207,0,11560.1759747117,11560.1759747117,0,0,0,10.757222589624,0,0,0.787013263275782,0,8.1797864330223,0,151.664058922318,0.756203551788955,7.80789050090683,0.112990147843786,10926.9750554375,164.655128635195,187.728392306471,100.752232923808,357.2543,221.04001,-1816.011,-23.7994,-1.17,170.9624,-23.799316,396.3367,2.82,643.7982,7.68695996502926,7.5205739722054,-0.166385992823856,-34.3596517070273,6.36681985428703,-1.32014011074222,-1.15375411791837
208,208,0,10666.7390463424,10666.7390463424,0,0,0,10.4390658220623,0,0,4.19067425507405,0,2.02944595519734,0,3001.634397651,1071.39673467818,789.667111096495,0.398389485163844,3035.85344187654,40.0459655391811,1525.71370676121,1185.3701132223,-11.983505,-511.0249,-3681.1328,-137.2039,-3.16,89.8452,-137.20361,1582.656,2.82,2391.6162,10.8732197217391,10.6101016193307,-0.263118102408409,-19.5295737943703,7.01718118280837,-3.85603853893072,-3.59292043652231
209,209,0,40644.8353564472,40644.8353564472,0,0,0,10.1537429940149,0,0,457.932766764878,0,2.26082632100934,0,2950.26920148406,429.738518671139,457.5791644438,21.7245910256736,33228.4843845137,270.922353737915,1383.08528864936,1432.68451784173,3.3866005,-330.1015,-5378.0977,-82.9399,-1.39,1729.459,-82.93994,1517.3517,2.82,2372.242,9.6730135519845,9.93911001223359,0.266096460249095,-57.6860457082457,6.00402808730551,-3.66898546467899,-3.93508192492808
210,210,0,1113.96089815264,1113.96089815264,0,0,0,10.7649806795782,0,0,7.89405108093316,0,8.80898620552854,0,171.725477579886,28.4056051401312,99.1001757294305,0.390895313405192,99.99999998,386.879358767318,205.622928221332,94.3684394550954,408.1398,330.78207,-1770.8779,-9.2253,-0.47,36.522,-9.22522,307.1127,2.82,676.276,7.06703090952541,6.80450928819285,-0.262521621332559,0,5.68307509353479,-1.38395581599062,-1.12143419465806
211,211,0,721.081781983028,721.081781983028,0,0,0,10.8548578568323,0,0,7.52099119489935,0,10.9434764384568,0,274.698915288045,43.3716649383509,28.7641849445472,7.7145534691767,99.99999998,19.6837141868251,121.492198219074,96.0372254668205,328.0491,-8.251587,-1249.1935,-40.2567,-2.68,41.2208,-40.256714,26.0392,2.82,819.0594,8.25857167368746,8.33632252371635,0.0777508500288828,0,7.20633667960012,-1.05223499408735,-1.12998584411623
212,212,0,7652.14318396577,7652.14318396577,0,0,0,10.4982755771777,0,0,8.41204851072905,0,4.20497304502117,0,3095.06808672823,779.098038354285,598.137016444723,0.296493489590035,1571.80267204085,3.53048778852141,887.520777724527,693.574314262115,140.379,-361.7826,-3331.8987,-28.5798,-0.73,30.1781,-28.579834,1065.2867,2.82,2426.4377,10.3912327712935,10.2456839870366,-0.145548784256912,-14.8937899978085,7.46210407698618,-2.92912869430733,-2.78357991005041
213,213,0,26692.259601739,26692.259601739,0,0,0,10.4331836093642,0,0,0.00438419977262411,0,3.16732887586262,0,3382.80201216851,840.301894716481,621.29050543228,0.00387649503250477,19761.0641054047,24.8162162034886,1153.93025398522,894.445840648316,59.9999,-458.6405,-3715.8816,-54.4052,-1.25,237.6303,-54.405273,1289.1743,2.82,2530.4922,10.498796120317,10.2925699697948,-0.206226150522197,-45.172215614574,7.15184122808598,-3.34695489223101,-3.14072874170881
214,214,0,1332.5658586947,1332.5658586947,0,0,0,10.7317453653403,0,0,6.71054606354451,0,6.70147802602556,0,599.526923990073,83.3997905339628,105.877891967622,26.5982565964736,99.99999998,16.04650647625,172.611186921184,204.361532774225,252.1543,-133.17169,-1964.3407,-25.5059,-1.1,51.8481,-25.50586,620.5609,2.82,1144.623,8.51323485771166,8.82896983419157,0.315734976479913,0,7.24941909086615,-1.2638157668455,-1.57955074332542
215,215,0,5207.59205302313,5207.59205302313,0,0,0,10.4649723845153,0,0,35.6948035558346,0,6.38609560725962,0,2536.45590199974,643.006486287828,465.319385747464,0.0456635863443928,99.99999998,8.64468212698126,800.763028165071,600.811033582089,170.05911,-256.02362,-3528.2078,-79.4826,-1.98,650.7981,-79.48242,671.5103,2.82,2209.5613,10.1357572563,9.95712629613443,-0.178630960165606,0,7.35598159705588,-2.77977565924416,-2.60114469907855
