kper,kstp,k,i,j,CONFq
1,1,0,15,11,4.031147077514488
1,1,0,15,12,4.037523930944422
1,1,0,15,13,4.039223533959316
1,1,0,15,14,4.03652108974301
1,1,0,15,15,4.038839917789607
1,1,0,15,16,4.041508081818208
1,1,0,15,17,4.043339554883932
1,1,0,15,18,4.04394534606493
1,1,0,15,19,4.0449313580177915
1,1,0,15,20,4.046506806915563
1,1,0,15,21,4.048540642775372
1,1,0,15,22,4.0510434309270735
1,1,0,15,23,4.054045917320469
1,1,0,15,24,4.0575576195611145
1,1,0,15,25,4.061566869899142
1,1,0,15,26,4.066048250517651
1,1,0,15,27,4.070968904764014
1,1,0,15,28,4.0762926715013705
1,1,0,15,29,4.081981942268158
1,1,0,15,30,4.087997696290904
1,1,0,15,31,4.09429834195269
1,1,0,15,32,4.100838183058649
1,1,0,15,33,4.107566522168176
1,1,0,15,34,4.114428706115609
1,1,0,15,35,4.121371034255068
1,1,0,15,36,4.128352289052902
1,1,0,15,37,4.1353645574851114
1,1,0,15,38,4.142462302117
1,1,0,15,39,4.149789976765179
1,1,0,15,40,4.1575849517600645
1,1,0,15,41,4.1660468024444235
1,1,0,15,42,4.168886409717109
1,1,0,15,43,4.1701312439652405
1,1,0,15,44,4.170758540825593
1,1,0,15,45,4.171579713398566
1,1,0,15,46,4.173292171348848
1,1,0,15,47,4.1749304966607
1,1,0,15,48,4.179506590471981
1,1,0,15,49,4.17915669793957
1,1,0,15,50,4.173625004066611
1,1,0,15,51,4.1710725247436695
1,1,0,15,52,4.168483204075002
1,1,0,15,53,4.167162225604656
1,1,0,15,54,4.1665988080323615
1,1,0,15,55,4.166405067421815
1,1,0,16,5,3.9985381995328453
1,1,0,16,6,4.001646960829483
1,1,0,16,7,4.005545354090669
1,1,0,16,8,4.010144610160653
1,1,0,16,9,4.015306989265222
1,1,0,16,10,4.020757179922683
1,1,0,16,11,4.025966153132897
1,1,0,16,12,4.031225844788713
1,1,0,16,13,4.03530689649379
1,1,0,16,14,4.039403109936048
1,1,0,16,15,4.0483147915583615
1,1,0,16,16,4.053773123379564
1,1,0,16,17,4.05677765441655
1,1,0,16,18,4.0555479041733165
1,1,0,16,19,4.056264711797009
1,1,0,16,20,4.058103694902691
1,1,0,16,21,4.060292722594207
1,1,0,16,22,4.0629554576555424
1,1,0,16,23,4.0661780678363275
1,1,0,16,24,4.069973988179454
1,1,0,16,25,4.074319791773471
1,1,0,16,26,4.079176137477464
1,1,0,16,27,4.084498190482579
1,1,0,16,28,4.090241285344684
1,1,0,16,29,4.096362435056728
1,1,0,16,30,4.102818989431023
1,1,0,16,31,4.109565424055445
1,1,0,16,32,4.116549388332292
1,1,0,16,33,4.123708164498675
1,1,0,16,34,4.130966806716131
1,1,0,16,35,4.138240370386178
1,1,0,16,36,4.145445601649104
1,1,0,16,37,4.152530859490817
1,1,0,16,38,4.159528907926935
1,1,0,16,39,4.166620711188758
1,1,0,16,40,4.174227515643468
1,1,0,16,41,4.183018669793768
1,1,0,16,42,4.185847494680509
1,1,0,16,43,4.186319017480743
1,1,0,16,44,4.185500221231912
1,1,0,16,45,4.184782171655108
1,1,0,16,46,4.187182658120779
1,1,0,16,47,4.184850187231945
1,1,0,16,48,4.177711249517335
1,1,0,16,49,4.173475346208171
1,1,0,16,50,4.169123991753702
1,1,0,16,51,4.165880848055181
1,1,0,16,52,4.163323960020371
1,1,0,16,53,4.161635608030183
1,1,0,16,54,4.160667990554753
1,1,0,16,55,4.1602367611766535
1,1,0,17,5,3.9967376738156695
1,1,0,17,6,3.999062266897452
1,1,0,17,7,4.0025360888667905
1,1,0,17,8,4.0067826915006
1,1,0,17,9,4.011592180263877
1,1,0,17,10,4.016754090449323
1,1,0,17,11,4.022042681853707
1,1,0,17,12,4.027414951568845
1,1,0,17,13,4.032683965755522
1,1,0,17,14,4.0383816063503115
1,1,0,17,15,4.045428528734297
1,1,0,17,16,4.051974516967045
1,1,0,17,17,4.058346409705253
1,1,0,17,18,4.066515148276434
1,1,0,17,19,4.06778716259398
1,1,0,17,20,4.070661800504375
1,1,0,17,21,4.072882386819593
1,1,0,17,22,4.075619084843721
1,1,0,17,23,4.079048793386537
1,1,0,17,24,4.083152913536189
1,1,0,17,25,4.0878751495013965
1,1,0,17,26,4.093151663789788
1,1,0,17,27,4.098919946313847
1,1,0,17,28,4.105125432073608
1,1,0,17,29,4.111721284845125
1,1,0,17,30,4.118664573879512
1,1,0,17,31,4.125909793557508
1,1,0,17,32,4.133401336206019
1,1,0,17,33,4.141066133700361
1,1,0,17,34,4.148806610790528
1,1,0,17,35,4.156494929165955
1,1,0,17,36,4.163976023551003
1,1,0,17,37,4.171101886593547
1,1,0,17,38,4.177819853407403
1,1,0,17,39,4.184255247810599
1,1,0,17,40,4.191005260020612
1,1,0,17,41,4.20041988513616
1,1,0,17,42,4.206486282025695
1,1,0,17,43,4.205117484137574
1,1,0,17,44,4.201461477550412
1,1,0,17,45,4.196186469693558
1,1,0,17,46,4.186868025350233
1,1,0,17,47,4.180589404760266
1,1,0,17,48,4.174333249877202
1,1,0,17,49,4.169229590253359
1,1,0,17,50,4.164834601468161
1,1,0,17,51,4.161322556952763
1,1,0,17,52,4.158615698558114
1,1,0,17,53,4.156707692579106
1,1,0,17,54,4.155520030991948
1,1,0,17,55,4.154956272747466
1,1,0,18,4,3.991477271466195
1,1,0,18,5,3.9939203095063025
1,1,0,18,6,3.9966358924613754
1,1,0,18,7,4.00006106360053
1,1,0,18,8,4.004164312835826
1,1,0,18,9,4.008832102217944
1,1,0,18,10,4.013931950259124
1,1,0,18,11,4.019343551102999
1,1,0,18,12,4.025015669407924
1,1,0,18,13,4.030941080272971
1,1,0,18,14,4.037319915920753
1,1,0,18,15,4.044352932609662
1,1,0,18,16,4.051660452720775
1,1,0,18,17,4.059429475683061
1,1,0,18,18,4.068374447317289
1,1,0,18,19,4.079018979192146
1,1,0,18,20,4.085185997411493
1,1,0,18,21,4.086267949961901
1,1,0,18,22,4.088901840011541
1,1,0,18,23,4.092557622033366
1,1,0,18,24,4.097026812782396
1,1,0,18,25,4.102189939010035
1,1,0,18,26,4.107949614689062
1,1,0,18,27,4.114218955421892
1,1,0,18,28,4.120933787453998
1,1,0,18,29,4.128047441674479
1,1,0,18,30,4.1355233603315895
1,1,0,18,31,4.143323622847904
1,1,0,18,32,4.1513966031013805
1,1,0,18,33,4.159665730778087
1,1,0,18,34,4.168016416957306
1,1,0,18,35,4.176274894553046
1,1,0,18,36,4.184180127978191
1,1,0,18,37,4.1913996151910276
1,1,0,18,38,4.1977126993776785
1,1,0,18,39,4.2028951398873975
1,1,0,18,40,4.2064390504611655
1,1,0,18,41,4.213320233796077
1,1,0,18,42,4.216712054816101
1,1,0,18,43,4.207932374461679
1,1,0,18,44,4.200499662379896
1,1,0,18,45,4.193003356382448
1,1,0,18,46,4.184834326036963
1,1,0,18,47,4.177626668528076
1,1,0,18,48,4.171122982707324
1,1,0,18,49,4.165595124746943
1,1,0,18,50,4.160981957497578
1,1,0,18,51,4.157278524222006
