kper,kstp,time,k,i,j,PWq
2,18,19.0,0,27,38,-19.190594937953733
2,18,19.0,0,28,38,12.330185884077423
2,18,19.0,0,29,37,-11.97916022767106
2,18,19.0,0,30,37,-6.6240856133138095
2,18,19.0,0,31,37,1.561926854649414
2,18,19.0,0,32,36,-5.992093185251292
2,18,19.0,0,33,36,-2.536034636267914
2,18,19.0,0,34,37,-5.413933256049745
2,18,19.0,0,35,37,-2.886513645783907
2,18,19.0,0,36,37,-5.6602865523448145
2,18,19.0,0,37,37,-5.523520209733306
2,18,19.0,0,38,37,-8.767291422601716
2,18,19.0,0,39,38,-4.693111042395799
2,18,19.0,0,40,38,-5.945109008710688
2,18,19.0,0,41,38,-6.851356840545577
2,18,19.0,0,42,38,-7.558525583103005
2,18,19.0,0,43,38,-7.63033369307152
2,18,19.0,0,44,38,-7.486714536696695
2,18,19.0,0,45,37,-4.618801312347841
2,18,19.0,0,45,38,-6.424359931998879
2,19,20.0,0,22,40,-9.142228842015811
2,19,20.0,0,23,40,-9.064387799220867
2,19,20.0,0,24,39,-9.045874028710273
2,19,20.0,0,25,39,-2.29799595993245
2,19,20.0,0,26,38,-2.366450493003981
2,19,20.0,0,27,38,-19.107307026700596
2,19,20.0,0,28,38,12.336582181457402
2,19,20.0,0,29,37,-11.94489517848308
2,19,20.0,0,30,37,-6.550891805930064
2,19,20.0,0,31,37,1.653061106256473
2,19,20.0,0,32,36,-5.917483835116627
2,19,20.0,0,33,36,-2.4625106789012534
2,19,20.0,0,34,37,-5.322593902330027
2,19,20.0,0,35,37,-2.779050027294261
2,19,20.0,0,36,37,-5.552119322678436
2,19,20.0,0,37,37,-5.415391275433649
2,19,20.0,0,38,37,-8.661492757101428
2,19,20.0,0,39,38,-4.582815164352951
2,19,20.0,0,40,38,-5.834853745758437
2,19,20.0,0,41,38,-6.741102604051321
2,19,20.0,0,42,38,-7.448271845952604
2,19,20.0,0,43,38,-7.520079059156956
2,19,20.0,0,44,38,-7.376410907748209
2,19,20.0,0,45,37,-4.510349588088047
2,19,20.0,0,45,38,-6.3122548099105416
2,20,21.0,0,22,40,-9.017949243526118
2,20,21.0,0,23,40,-8.940153110894357
2,20,21.0,0,24,39,-8.921647694797798
2,20,21.0,0,25,39,-2.214714904012226
2,20,21.0,0,26,38,-2.283176307061126
2,20,21.0,0,27,38,-19.05325185579443
2,20,21.0,0,28,38,12.334025670270421
2,20,21.0,0,29,37,-11.932795985437565
2,20,21.0,0,30,37,-6.506875187501123
2,20,21.0,0,31,37,1.714733492491746
2,20,21.0,0,32,36,-5.86928010164695
2,20,21.0,0,33,36,-2.4151396646424246
2,20,21.0,0,34,37,-5.258780770852923
2,20,21.0,0,35,37,-2.7004313972802265
2,20,21.0,0,36,37,-5.472790262002263
2,20,21.0,0,37,37,-5.336102501600294
2,20,21.0,0,38,37,-8.584495205747999
2,20,21.0,0,39,38,-4.5013798811207835
2,20,21.0,0,40,38,-5.753463218726665
2,20,21.0,0,41,38,-6.65971320118183
2,20,21.0,0,42,38,-7.36688289271865
2,20,21.0,0,43,38,-7.4386891181480905
2,20,21.0,0,44,38,-7.294967798221023
2,20,21.0,0,45,37,-4.430739905796372
2,20,21.0,0,45,38,-6.229032871864433
2,21,22.0,0,22,40,-8.882992358502634
2,21,22.0,0,23,40,-8.805245233758683
2,21,22.0,0,24,39,-8.786747875777564
2,21,22.0,0,25,39,-2.121383319356255
2,21,22.0,0,26,38,-2.1898515777709235
2,21,22.0,0,27,38,-18.98938422523895
2,21,22.0,0,28,38,12.342585857557083
2,21,22.0,0,29,37,-11.908129940901631
2,21,22.0,0,30,37,-6.453444424685131
2,21,22.0,0,31,37,1.7860081785333932
2,21,22.0,0,32,36,-5.8083347090482675
2,21,22.0,0,33,36,-2.354774038959704
2,21,22.0,0,34,37,-5.183435003745672
2,21,22.0,0,35,37,-2.6116843618718804
2,21,22.0,0,36,37,-5.383336939942069
2,21,22.0,0,37,37,-5.246691119589286
2,21,22.0,0,38,37,-8.497317236545769
2,21,22.0,0,39,38,-4.409860201970901
2,21,22.0,0,40,38,-5.66199230098016
2,21,22.0,0,41,38,-6.5682435168429265
2,21,22.0,0,42,38,-7.275413613403998
2,21,22.0,0,43,38,-7.3472187515872065
2,21,22.0,0,44,38,-7.203440355775683
2,21,22.0,0,45,37,-4.341012482276938
2,21,22.0,0,45,38,-6.135763949945385
2,22,23.0,0,22,40,-8.774526675301672
2,22,23.0,0,23,40,-8.696832384005234
2,22,23.0,0,24,39,-8.678342737242701
2,22,23.0,0,25,39,-2.055115745735975
2,22,23.0,0,26,38,-2.123590746214518
2,22,23.0,0,27,38,-18.95164783613791
